id,pct_illeg,pct_kids2_par,num_illeg,pct_w_inv_inc,black_per_cap,race_pct_white,racepctblack,own_occ_low_quart,hisp_per_cap,violent_crimes_per_pop
24,0.03,0.88,0.0,0.72,0.09,0.97,0.01,0.35,0.19,0.02
25,0.18,0.84,0.0,0.8,0.42,0.72,0.32,0.22,0.44,0.1
26,0.18,0.65,0.0,0.51,0.29,0.88,0.14,0.24,0.48,0.12
27,0.05,0.89,0.0,0.64,0.53,0.79,0.02,0.83,0.78,0.06
28,0.39,0.43,0.03,0.27,0.21,0.56,0.05,0.19,0.29,0.38
29,0.06,0.69,0.0,0.55,0.29,0.97,0.0,0.18,0.27,0.08
30,0.28,0.7,0.01,0.42,0.12,0.73,0.15,0.49,0.35,0.25
31,0.06,0.74,0.0,0.61,0.01,0.98,0.0,0.12,0.38,0.05
32,0.11,0.51,0.0,0.41,0.12,0.98,0.02,0.03,0.22,0.03
33,0.07,0.64,0.0,0.5,0.26,0.78,0.02,0.1,0.23,0.71
34,0.06,0.89,0.0,0.71,0.29,0.86,0.09,0.53,0.69,0.04
35,0.14,0.54,0.01,0.54,0.16,0.93,0.01,0.14,0.26,0.1
36,0.07,0.74,0.0,0.58,0.04,0.99,0.01,0.13,0.13,0.01
37,0.03,0.69,0.0,0.59,0.0,0.94,0.01,0.15,0.41,0.12
38,0.09,0.72,0.01,0.68,0.19,0.9,0.07,0.49,0.99,0.4
39,1.0,0.11,0.04,0.24,0.1,0.21,0.97,0.06,0.22,0.33
40,0.04,0.93,0.0,0.71,0.81,0.97,0.0,0.53,0.97,0.04
41,0.14,0.65,0.0,0.43,0.32,0.97,0.01,0.26,0.42,0.06
42,0.45,0.4,0.34,0.41,0.26,0.39,0.3,0.23,0.34,0.53
43,0.04,0.91,0.0,0.72,0.0,1.0,0.0,0.22,0.51,0.01
44,0.17,0.68,0.01,0.58,0.34,0.57,0.08,0.84,0.48,0.12
45,0.2,0.6,0.01,0.46,0.21,0.97,0.01,0.1,0.34,0.0
46,0.04,0.78,0.0,0.72,0.31,0.98,0.02,0.25,0.39,0.04
47,0.07,0.71,0.0,0.37,0.27,0.96,0.0,0.1,0.31,0.07
48,0.03,0.93,0.0,0.86,0.45,0.97,0.01,0.28,0.48,0.01
49,0.09,0.9,0.0,0.33,0.17,0.74,0.25,0.14,0.26,0.1
50,0.04,0.92,0.0,0.85,0.46,0.87,0.09,0.67,0.7,0.04
51,0.24,0.58,0.03,0.54,0.25,0.94,0.06,0.26,0.23,0.22
52,0.16,0.46,0.01,0.46,0.17,0.82,0.03,0.18,0.32,0.45
53,0.66,0.36,0.02,0.22,0.15,0.37,0.71,0.06,0.22,0.35
54,0.24,0.49,0.02,0.41,0.32,0.89,0.03,0.21,0.33,0.18
55,0.2,0.49,0.01,0.33,0.14,0.74,0.12,0.02,0.18,0.29
56,0.4,0.36,0.01,0.27,0.15,0.75,0.31,0.06,0.19,0.4
57,0.27,0.56,0.02,0.61,0.55,0.53,0.2,0.88,0.42,0.38
58,0.34,0.48,0.01,0.46,0.27,0.95,0.04,0.19,0.38,0.1
59,0.14,0.56,0.01,0.46,0.23,0.93,0.09,0.08,0.52,0.24
60,0.02,0.79,0.0,0.66,0.6,0.98,0.01,0.15,0.44,0.14
61,0.05,0.74,0.0,0.38,0.27,0.97,0.0,0.12,0.28,0.07
62,0.54,0.41,0.01,0.41,0.21,0.67,0.39,0.2,0.33,0.21
63,0.1,0.75,0.01,0.47,0.25,0.91,0.02,0.08,0.24,0.14
64,0.12,0.7,0.01,0.45,0.24,0.84,0.15,0.14,0.34,0.25
65,0.31,0.58,0.01,0.39,0.14,0.97,0.03,0.03,0.51,0.05
66,0.39,0.37,0.06,0.45,0.18,0.67,0.39,0.11,0.46,0.63
67,0.49,0.47,0.05,0.36,0.38,0.0,0.46,0.54,0.33,0.84
68,0.13,0.65,0.0,0.42,0.16,0.98,0.02,0.04,0.07,0.04
69,0.1,0.78,0.0,0.52,0.01,0.98,0.0,0.06,0.25,0.02
70,0.09,0.73,0.0,0.3,0.28,0.6,0.05,0.04,0.2,0.07
71,0.5,0.43,0.02,0.23,0.08,0.46,0.03,0.15,0.21,0.55
72,0.14,0.72,0.08,0.46,0.27,0.85,0.04,0.19,0.31,0.3
73,0.05,0.71,0.0,0.55,0.11,0.95,0.01,0.42,0.48,0.15
74,0.1,0.86,0.0,0.68,0.31,0.94,0.06,0.18,0.5,0.03
75,0.1,0.64,0.01,0.43,0.17,0.87,0.09,0.02,0.3,0.37
76,0.14,0.49,0.0,0.41,0.16,0.95,0.01,0.08,0.21,0.22
77,0.79,0.21,0.06,0.46,0.22,0.47,0.64,0.3,0.39,0.59
78,0.37,0.49,0.02,0.34,0.12,0.63,0.25,0.09,0.27,0.5
79,0.23,0.67,0.05,0.59,0.29,0.92,0.01,0.1,0.18,0.18
80,0.4,0.5,0.01,0.37,0.4,0.0,1.0,0.18,0.43,0.15
81,0.05,0.79,0.0,0.79,0.28,0.9,0.12,0.22,0.52,0.1
82,0.74,0.25,0.09,0.39,0.18,0.45,0.69,0.11,0.34,0.72
83,0.15,0.59,0.03,0.59,0.21,0.9,0.02,0.14,0.28,0.16
84,0.05,0.62,0.0,0.43,0.42,0.98,0.01,0.1,0.19,0.12
85,0.22,0.78,0.01,0.63,0.44,0.7,0.22,0.45,0.52,0.12
86,0.17,0.67,0.02,0.62,0.33,0.91,0.08,0.41,0.49,0.19
87,0.05,0.89,0.0,0.92,1.0,0.48,0.0,1.0,1.0,0.08
88,0.41,0.44,0.01,0.24,0.18,0.72,0.33,0.07,0.12,0.24
89,0.09,0.81,0.0,0.62,0.42,0.86,0.1,0.49,0.48,0.09
90,0.25,0.41,0.01,0.29,0.18,0.86,0.18,0.06,0.55,0.16
91,0.45,0.46,0.06,0.21,0.39,0.37,0.01,0.43,0.34,0.56
92,0.21,0.55,0.01,0.61,0.19,0.89,0.11,0.14,0.2,0.15
93,0.08,0.64,0.0,0.42,0.16,0.97,0.01,0.08,0.64,0.04
94,0.5,0.28,0.05,0.41,0.14,0.62,0.46,0.1,0.48,0.67
95,0.09,0.72,0.01,0.52,0.32,0.92,0.08,0.09,0.42,0.1
96,0.47,0.47,0.02,0.18,0.09,0.58,0.53,0.03,0.25,0.61
97,0.09,0.83,0.01,0.58,0.58,0.45,0.11,0.7,0.58,0.19
98,0.07,0.76,0.0,0.67,0.43,0.92,0.01,0.21,0.3,0.09
99,0.64,0.38,0.12,0.42,0.2,0.52,0.57,0.13,0.32,0.82
100,0.28,0.6,0.07,0.5,0.26,0.62,0.15,0.39,0.27,0.42
101,0.24,0.6,0.02,0.57,0.35,0.39,0.72,0.16,0.42,0.02
102,0.73,0.33,0.47,0.51,0.2,0.67,0.25,0.15,0.31,0.75
103,0.09,0.72,0.0,0.51,0.35,0.98,0.02,0.14,0.77,0.24
104,0.13,0.55,0.01,0.46,0.46,0.88,0.0,0.13,0.18,0.2
105,1.0,0.0,0.22,0.19,0.32,0.0,1.0,0.25,0.35,1.0
106,0.3,0.59,0.01,0.53,0.17,0.69,0.01,0.1,0.18,0.22
107,0.1,0.83,0.01,0.56,0.45,0.84,0.07,0.42,0.5,0.06
108,0.29,0.45,0.02,0.39,0.21,0.84,0.04,0.24,0.26,0.19
109,0.17,0.67,0.01,0.11,0.17,0.95,0.05,0.0,0.19,0.1
110,0.67,0.18,0.02,0.18,0.34,0.0,1.0,0.13,0.52,0.38
111,0.03,0.96,0.0,0.88,0.73,0.94,0.01,0.64,0.77,0.04
112,0.12,0.8,0.0,0.51,0.68,0.99,0.01,0.36,0.0,0.27
113,0.15,0.82,0.01,0.65,0.44,0.8,0.13,0.39,0.5,0.04
114,0.02,0.88,0.0,0.56,0.27,0.95,0.05,0.22,0.38,0.08
115,0.06,0.88,0.0,0.58,0.48,0.93,0.02,0.43,0.52,0.17
116,0.49,0.41,0.12,0.44,0.18,0.64,0.41,0.05,0.23,0.45
117,0.08,0.74,0.0,0.45,0.29,0.72,0.34,0.17,0.43,0.12
118,0.23,0.69,0.01,0.41,0.21,0.71,0.35,0.17,0.38,0.29
119,0.09,0.73,0.01,0.55,0.43,0.93,0.01,0.16,0.33,0.15
120,0.19,0.61,0.01,0.59,0.24,0.82,0.06,0.5,0.53,0.14
121,0.1,0.68,0.0,0.45,0.24,0.97,0.02,0.15,0.56,0.19
122,0.6,0.43,0.47,0.38,0.27,0.36,0.27,0.55,0.28,0.67
123,0.04,0.89,0.0,0.88,0.58,0.86,0.11,0.75,0.78,0.04
124,0.26,0.56,0.03,0.42,0.21,0.97,0.03,0.02,0.19,0.13
125,0.45,0.42,0.06,0.65,0.29,0.42,0.37,0.58,0.37,0.67
126,0.12,0.62,0.0,0.41,0.0,0.96,0.01,0.12,0.34,0.19
127,0.29,0.53,0.02,0.27,0.17,0.75,0.18,0.16,0.27,0.5
128,0.2,0.69,0.02,0.52,0.31,0.83,0.13,0.29,0.35,0.15
129,0.19,0.68,0.01,0.54,0.25,0.95,0.02,0.34,0.25,0.37
130,0.03,0.92,0.0,0.95,0.94,0.88,0.02,1.0,1.0,0.02
131,0.03,0.87,0.0,0.62,0.24,0.96,0.01,0.23,0.52,0.01
132,0.28,0.46,0.01,0.41,0.2,0.74,0.3,0.09,0.28,0.21
133,0.17,0.75,0.0,0.61,0.31,0.87,0.04,0.48,0.83,0.03
134,0.04,0.81,0.0,0.81,0.36,0.94,0.06,0.18,0.43,0.04
135,0.2,0.53,0.0,0.51,0.22,0.9,0.11,0.24,0.27,0.2
136,0.31,0.53,0.03,0.4,0.19,0.73,0.33,0.07,0.25,0.25
137,0.11,0.76,0.01,0.66,0.57,0.67,0.02,0.82,0.53,0.11
138,0.22,0.57,0.01,0.61,0.34,0.88,0.02,0.16,0.39,0.13
139,0.11,0.67,0.01,0.47,0.24,0.81,0.07,0.11,0.32,0.09
140,0.59,0.37,0.03,0.28,0.19,0.38,0.76,0.09,0.26,1.0
141,0.1,0.82,0.0,0.67,0.07,0.96,0.0,0.1,0.19,0.03
142,0.16,0.74,0.0,0.51,0.11,0.96,0.02,0.08,0.25,0.08
143,0.18,0.65,0.01,0.42,0.24,0.74,0.12,0.1,0.24,0.2
144,0.17,0.68,0.0,0.36,0.27,0.74,0.2,0.16,0.34,0.34
145,0.36,0.53,0.72,0.38,0.23,0.72,0.1,0.16,0.26,0.45
146,0.64,0.33,0.02,0.4,0.16,0.52,0.46,0.17,0.2,0.51
147,0.17,0.67,0.01,0.34,0.23,0.88,0.11,0.2,0.26,0.15
148,0.02,0.87,0.0,0.79,0.47,0.94,0.02,0.43,0.44,0.05
149,0.29,0.48,0.01,0.12,0.0,0.7,0.0,0.01,0.16,0.52
150,0.26,0.54,0.01,0.35,0.17,0.49,0.34,0.08,0.21,0.24
151,0.1,0.68,0.01,0.42,0.16,0.92,0.0,0.08,0.18,0.18
152,0.04,0.82,0.0,0.7,0.5,0.94,0.02,0.56,0.58,0.04
153,0.24,0.6,0.07,0.4,0.31,0.77,0.06,0.18,0.29,0.34
154,0.16,0.57,0.0,0.39,0.1,0.65,0.21,0.02,0.22,1.0
155,0.05,0.83,0.0,0.68,0.18,0.97,0.02,0.1,0.57,0.22
156,0.15,0.55,0.0,0.47,0.23,0.94,0.01,0.09,0.14,0.12
157,0.17,0.67,0.01,0.33,0.2,0.83,0.11,0.07,0.22,0.14
158,0.14,0.77,0.0,0.57,0.35,0.75,0.22,0.4,0.71,0.12
159,0.17,0.74,0.02,0.66,0.27,0.93,0.01,0.18,0.31,0.06
160,0.03,0.77,0.0,0.68,0.04,0.96,0.02,0.52,0.52,0.08
161,0.13,0.75,0.0,0.41,0.26,0.83,0.2,0.12,0.57,0.06
162,0.08,0.85,0.0,0.61,0.33,0.99,0.0,0.36,0.46,0.26
163,0.08,0.85,0.01,0.69,0.39,0.95,0.03,0.35,0.46,0.04
164,0.17,0.59,0.01,0.26,0.34,0.89,0.0,0.04,0.28,0.29
165,0.15,0.63,0.02,0.54,0.25,0.85,0.06,0.14,0.31,0.08
166,0.13,0.55,0.0,0.57,0.28,0.9,0.11,0.15,0.4,0.08
167,0.24,0.41,0.01,0.34,0.23,0.91,0.1,0.02,0.35,0.27
168,0.23,0.55,0.02,0.42,0.22,0.76,0.14,0.13,0.3,0.26
169,0.69,0.21,0.02,0.23,0.12,0.24,0.96,0.07,0.38,0.96
170,0.06,0.82,0.0,0.6,0.12,0.76,0.19,0.51,0.32,0.08
171,0.23,0.53,0.02,0.46,0.14,0.95,0.01,0.09,0.28,0.1
172,0.12,0.68,0.0,0.54,0.33,0.97,0.03,0.14,0.88,0.05
173,0.01,0.94,0.0,0.72,0.55,0.97,0.01,0.61,1.0,0.02
174,0.04,0.81,0.0,0.65,0.05,0.99,0.0,0.31,0.41,0.05
175,1.0,0.03,0.09,0.19,0.23,0.0,1.0,0.08,0.29,0.55
176,1.0,0.14,0.08,0.23,0.22,0.25,0.68,0.23,0.23,0.64
177,0.06,0.85,0.0,0.62,0.37,0.98,0.02,0.37,0.47,0.04
178,0.2,0.49,0.0,0.4,0.18,0.82,0.22,0.06,0.52,0.16
179,0.19,0.63,0.01,0.44,0.2,0.95,0.05,0.11,0.19,0.01
180,0.42,0.49,0.05,0.32,0.33,0.54,0.12,0.52,0.34,0.7
181,0.34,0.63,0.01,0.29,0.25,0.44,0.01,0.46,0.29,0.38
182,0.06,0.83,0.0,0.64,0.81,0.97,0.01,0.24,1.0,0.15
183,0.03,0.81,0.0,0.55,0.38,0.99,0.01,0.09,1.0,0.01
184,0.13,0.72,0.0,0.54,0.4,0.87,0.15,0.26,0.54,0.12
185,0.09,0.86,0.0,0.58,0.42,0.96,0.03,0.45,0.52,0.06
186,0.09,0.74,0.0,0.46,0.24,0.92,0.02,0.14,0.32,0.27
187,0.81,0.2,0.06,0.23,0.29,0.0,1.0,0.12,0.5,0.65
188,0.06,0.9,0.0,0.94,0.63,0.89,0.02,0.74,0.62,0.01
189,0.27,0.5,0.01,0.3,0.23,0.74,0.31,0.11,0.29,0.45
190,0.25,0.55,0.06,0.5,0.12,0.87,0.03,0.11,0.23,0.14
191,0.18,0.65,0.01,0.57,0.2,0.89,0.15,0.08,0.66,0.19
192,0.13,0.77,0.01,0.68,0.15,0.98,0.0,0.11,0.27,0.07
193,0.15,0.74,0.03,0.5,0.51,0.82,0.03,0.64,0.45,0.1
194,0.14,0.74,0.0,0.54,0.22,0.75,0.31,0.16,0.53,0.05
195,0.58,0.28,0.07,0.3,0.18,0.41,0.57,0.09,0.28,0.72
196,0.74,0.19,0.09,0.28,0.14,0.23,0.96,0.07,0.39,1.0
197,0.02,0.88,0.0,0.48,0.05,0.94,0.01,0.14,0.22,0.02
198,0.58,0.22,0.03,0.24,0.16,0.19,1.0,0.05,0.22,0.24
199,0.24,0.59,0.02,0.56,0.28,0.81,0.15,0.49,0.44,0.16
200,0.42,0.46,0.03,0.36,0.19,0.68,0.4,0.09,0.17,0.3
201,0.3,0.52,0.01,0.52,0.33,0.93,0.03,0.2,0.35,0.12
202,0.3,0.58,0.01,0.26,0.14,0.89,0.13,0.15,0.54,0.12
203,0.19,0.71,0.01,0.44,0.4,0.9,0.04,0.35,0.31,0.17
204,0.09,0.74,0.0,0.41,0.7,0.98,0.01,0.32,0.42,0.18
205,0.97,0.2,0.29,0.35,0.28,0.37,0.52,0.37,0.3,0.79
206,0.12,0.66,0.01,0.54,0.27,0.94,0.04,0.09,0.28,0.08
207,0.4,0.47,0.37,0.37,0.2,0.45,0.43,0.08,0.25,0.63
208,0.43,0.44,0.04,0.13,0.3,0.45,0.07,0.41,0.28,0.69
209,0.13,0.7,0.02,0.66,0.11,0.98,0.01,0.14,0.35,0.1
210,0.05,0.91,0.0,0.78,0.64,0.95,0.02,0.6,0.59,0.01
211,0.09,0.87,0.0,0.7,0.35,0.96,0.03,0.16,0.33,0.02
212,0.12,0.62,0.03,0.47,0.21,0.95,0.03,0.1,0.36,0.24
213,0.08,0.66,0.0,0.43,0.15,0.9,0.03,0.06,0.22,0.03
214,0.59,0.44,0.1,0.59,0.36,0.53,0.43,0.52,0.44,0.27
215,0.04,0.88,0.0,0.85,0.26,0.9,0.06,0.54,0.57,0.02
216,0.21,0.69,0.01,0.33,0.32,0.38,0.28,0.4,0.32,0.16
217,0.16,0.54,0.0,0.44,0.08,0.99,0.01,0.06,0.19,0.03
218,0.7,0.28,0.08,0.31,0.16,0.38,0.78,0.07,0.34,0.7
219,0.2,0.65,0.01,0.33,0.07,0.5,0.11,0.01,0.14,0.29
220,0.06,0.82,0.0,0.6,0.0,0.99,0.0,0.33,0.71,0.02
221,0.16,0.45,0.01,0.48,0.29,0.77,0.29,0.09,0.3,0.26
222,1.0,0.21,0.07,0.22,0.15,0.49,0.45,0.13,0.2,1.0
223,0.81,0.03,0.03,0.2,0.16,0.1,1.0,0.05,0.49,0.86
224,0.19,0.57,0.02,0.58,0.16,0.91,0.02,0.18,0.31,0.14
225,0.22,0.51,0.01,0.3,0.16,0.8,0.1,0.02,0.22,0.28
226,0.06,0.87,0.0,0.67,0.44,0.91,0.08,0.36,0.59,0.03
227,0.11,0.81,0.0,0.57,0.3,0.96,0.03,0.27,0.55,0.08
228,0.04,0.84,0.0,0.64,0.38,0.98,0.01,0.53,0.81,0.03
229,0.16,0.61,0.01,0.32,1.0,0.73,0.02,0.15,0.27,0.11
230,0.12,0.63,0.0,0.43,0.01,0.97,0.01,0.05,0.31,0.08
231,0.08,0.71,0.0,0.43,0.17,0.99,0.0,0.1,0.44,0.01
232,0.53,0.42,0.03,0.3,0.15,0.6,0.44,0.08,0.21,0.28
233,0.31,0.53,0.02,0.4,0.15,0.72,0.21,0.06,0.3,0.12
234,0.73,0.16,0.45,0.21,0.19,0.02,1.0,0.06,0.49,1.0
235,0.06,0.78,0.0,0.77,0.36,0.93,0.03,0.58,0.7,0.08
236,0.15,0.71,0.01,0.54,0.33,0.74,0.24,0.18,0.41,0.19
237,0.21,0.52,0.01,0.46,0.3,0.87,0.15,0.07,0.41,0.17
238,0.27,0.52,0.01,0.45,0.21,0.83,0.15,0.18,0.3,0.35
239,0.21,0.61,0.03,0.51,0.26,0.82,0.02,0.1,0.39,0.18
240,0.1,0.91,0.0,0.53,0.39,0.86,0.1,0.22,0.45,0.14
241,0.38,0.5,0.01,0.42,0.27,0.92,0.08,0.1,0.19,0.21
242,0.36,0.5,0.28,0.46,0.23,0.55,0.24,0.14,0.29,0.25
243,0.17,0.69,0.01,0.67,0.36,0.68,0.36,0.32,0.36,0.09
244,0.16,0.37,0.0,0.81,0.19,0.9,0.11,0.35,0.54,0.17
245,0.27,0.51,0.02,0.34,0.17,0.47,0.53,0.05,0.33,0.33
246,0.23,0.5,0.01,0.48,0.37,0.7,0.31,0.17,0.43,0.18
247,0.15,0.65,0.01,0.75,0.41,0.48,0.18,0.66,0.54,0.38
248,0.91,0.23,0.93,0.4,0.27,0.43,0.5,0.41,0.3,0.81
249,0.25,0.63,0.02,0.44,0.31,0.59,0.11,0.63,0.37,0.14
250,0.1,0.67,0.0,0.49,0.16,0.98,0.0,0.05,0.3,0.41
251,0.06,0.89,0.0,0.68,0.4,0.85,0.11,0.25,0.57,0.07
252,0.19,0.59,0.05,0.38,0.31,0.68,0.15,0.17,0.3,0.17
253,0.09,0.64,0.0,0.44,0.25,0.95,0.0,0.12,0.2,0.1
254,0.19,0.79,0.0,0.56,0.39,0.66,0.19,0.44,0.52,0.05
255,0.29,0.44,0.02,0.37,0.16,0.8,0.24,0.09,0.57,0.33
256,0.14,0.82,0.0,0.57,0.28,0.88,0.02,0.14,0.3,0.04
257,0.13,0.69,0.0,0.51,0.0,0.99,0.0,0.04,0.11,0.05
258,0.05,0.44,0.0,0.86,0.06,0.98,0.02,0.19,0.41,0.15
259,0.02,0.94,0.0,0.79,0.68,0.9,0.03,0.42,1.0,0.02
260,0.15,0.8,0.0,0.74,0.45,0.83,0.12,0.45,0.57,0.08
261,0.97,0.33,0.2,0.16,0.38,0.0,1.0,0.43,0.23,0.86
262,0.08,0.71,0.01,0.51,0.25,0.97,0.0,0.1,0.29,0.1
263,0.1,0.68,0.0,0.51,0.23,0.91,0.02,0.5,0.43,0.14
264,0.13,0.66,0.0,0.23,0.16,0.91,0.09,0.06,0.13,0.03
265,0.28,0.47,0.03,0.31,0.21,0.5,0.49,0.08,0.31,0.28
266,0.73,0.38,0.16,0.31,0.22,0.47,0.39,0.33,0.37,0.54
267,0.3,0.46,0.02,0.34,0.14,0.66,0.23,0.04,0.22,0.3
268,0.11,0.74,0.01,0.6,0.21,0.9,0.02,0.19,0.27,0.16
269,0.31,0.48,0.27,0.61,0.27,0.63,0.2,0.28,0.52,0.58
270,0.04,0.84,0.0,0.81,0.52,0.99,0.01,0.16,0.91,0.02
271,0.26,0.63,0.01,0.75,0.22,0.73,0.24,0.3,0.33,0.28
272,0.09,0.73,0.0,0.55,0.05,0.99,0.01,0.26,0.67,0.03
273,0.12,0.53,0.0,0.23,0.28,0.73,0.15,0.12,0.29,0.32
274,0.11,0.77,0.01,0.57,0.17,0.95,0.0,0.14,0.22,0.03
275,0.19,0.67,0.01,0.48,0.24,0.97,0.02,0.18,0.39,0.1
276,0.91,0.18,0.09,0.31,0.18,0.28,0.89,0.08,0.36,1.0
277,0.11,0.48,0.0,0.62,0.14,0.94,0.06,0.18,0.59,0.27
278,0.05,0.84,0.0,0.7,0.55,0.95,0.01,0.49,0.42,0.15
279,0.12,0.56,0.0,0.24,1.0,0.35,0.01,0.03,0.21,0.14
280,0.08,0.84,0.01,0.7,0.56,0.78,0.07,0.53,0.59,0.06
281,0.12,0.86,0.0,0.58,0.35,0.88,0.09,0.41,0.35,0.32
282,0.3,0.58,0.03,0.31,0.27,0.59,0.19,0.24,0.29,0.36
283,0.04,0.94,0.0,0.76,1.0,0.98,0.01,0.51,0.79,0.02
284,0.4,0.41,0.04,0.59,0.2,0.66,0.39,0.17,0.36,0.56
285,0.11,0.77,0.0,0.45,0.52,0.96,0.03,0.37,0.48,0.08
286,0.4,0.26,0.04,0.52,0.17,0.73,0.32,0.14,0.32,0.76
287,0.06,0.87,0.0,0.65,0.58,0.78,0.13,0.38,0.58,0.11
288,0.23,0.48,0.01,0.44,0.18,0.95,0.0,0.13,0.28,0.09
289,0.85,0.29,0.14,0.37,0.2,0.35,0.81,0.16,0.38,0.53
290,0.26,0.6,0.02,0.65,0.41,0.75,0.06,0.9,0.33,0.23
291,0.06,0.75,0.0,0.61,0.27,0.99,0.01,0.28,0.23,0.01
292,0.07,0.89,0.0,0.73,0.44,0.91,0.09,0.58,0.51,0.08
293,0.15,0.56,0.01,0.24,0.04,0.69,0.0,0.02,0.2,0.2
294,0.03,0.72,0.0,0.4,0.39,0.93,0.07,0.18,0.74,0.26
295,0.62,0.28,0.04,0.18,0.15,0.38,0.78,0.06,0.38,0.34
296,0.42,0.33,0.01,0.24,0.15,0.54,0.59,0.08,1.0,0.57
297,0.13,0.6,0.03,0.46,0.19,0.94,0.05,0.08,0.29,0.18
298,0.07,0.88,0.0,0.67,0.0,0.99,0.01,0.52,0.56,0.03
299,0.06,0.66,0.0,0.3,0.0,0.99,0.0,0.05,0.39,0.11
300,0.54,0.4,0.02,0.41,0.24,0.64,0.42,0.22,0.35,0.18
301,0.45,0.39,0.05,0.19,0.23,0.1,0.16,0.27,0.23,0.61
302,0.17,0.76,0.01,0.64,0.44,0.79,0.1,0.46,0.4,0.18
303,0.7,0.36,0.08,0.2,0.18,0.43,0.67,0.11,0.68,0.93
304,0.18,0.64,0.02,0.5,0.3,0.69,0.07,0.33,0.34,0.3
305,0.05,0.84,0.0,0.69,0.55,0.86,0.12,0.36,0.58,0.04
306,0.1,0.68,0.01,0.6,0.34,0.93,0.06,0.13,0.43,0.11
307,0.07,0.87,0.0,0.55,0.9,0.98,0.01,0.49,0.37,0.18
308,0.58,0.49,0.15,0.25,0.27,0.34,0.28,0.33,0.25,0.67
309,0.03,0.85,0.0,0.63,0.29,0.97,0.01,0.55,0.53,0.02
310,0.17,0.6,0.04,0.57,0.26,0.84,0.03,0.51,0.35,0.22
311,0.14,0.7,0.01,0.6,0.18,0.95,0.02,0.09,0.24,0.06
312,0.07,0.8,0.0,0.67,0.32,0.96,0.01,0.5,0.59,0.02
313,0.09,0.76,0.0,0.56,0.24,0.95,0.04,0.26,0.33,0.01
314,0.09,0.82,0.01,0.67,0.55,0.82,0.11,0.54,0.45,0.12
315,0.03,0.97,0.0,0.87,0.56,0.93,0.03,0.56,0.76,0.01
316,0.24,0.42,0.02,0.43,0.18,0.9,0.12,0.07,0.24,0.53
317,0.24,0.69,0.03,0.57,0.42,0.85,0.07,0.51,0.39,0.4
318,0.28,0.49,0.01,0.46,0.19,0.79,0.03,0.42,0.27,0.19
319,0.54,0.46,0.03,0.31,0.29,0.4,0.16,0.61,0.33,0.82
320,0.08,0.67,0.0,0.6,0.06,0.94,0.01,0.17,0.34,0.03
321,0.06,0.72,0.01,0.35,0.27,0.85,0.03,0.09,0.27,0.14
322,0.4,0.4,0.02,0.27,0.15,0.63,0.43,0.03,0.38,0.74
323,0.13,0.8,0.0,0.71,0.42,0.84,0.13,0.6,0.59,0.04
324,0.13,0.82,0.0,0.5,0.2,0.9,0.09,0.43,0.12,0.07
325,0.03,0.86,0.0,0.65,0.4,0.84,0.06,0.14,0.42,0.03
326,0.28,0.58,0.03,0.45,0.43,0.64,0.02,0.53,0.36,0.37
327,0.22,0.58,0.03,0.37,0.2,0.59,0.23,0.07,0.24,0.23
328,0.11,0.75,0.0,0.42,0.27,0.94,0.06,0.37,0.22,0.09
