med_rent,total_pct_div,pct_work_mom,male_pct_nev_marr,male_pct_divorce,per_cap_inc,pct_unemployed,pct_vacant_boarded,own_occ_hi_quart,rent_median,Percentviolent_crimes_per_pop,is_this_the_id_col,or_maybe_this_is_the_id_col
0.22,0.7,0.49,0.3,0.66,0.27,0.48,0.18,0.14,0.23,0.1,35,35
0.18,0.38,0.96,0.41,0.37,0.24,0.16,0.0,0.09,0.21,0.01,36,36
0.31,0.57,0.75,0.33,0.48,0.31,0.18,0.11,0.13,0.32,0.12,37,37
0.43,0.49,0.3,0.65,0.39,0.89,0.21,0.19,0.76,0.43,0.4,38,38
0.14,0.5,0.58,0.84,0.38,0.07,1.0,0.45,0.08,0.11,0.33,39,39
0.62,0.18,0.58,0.37,0.17,0.58,0.32,0.18,0.55,0.55,0.04,40,40
0.38,0.56,0.75,0.4,0.5,0.34,0.14,0.1,0.27,0.4,0.06,41,41
0.37,0.8,0.36,0.56,0.75,0.31,0.49,0.46,0.31,0.37,0.53,42,42
0.53,0.17,0.73,0.29,0.21,0.37,0.13,0.08,0.19,0.51,0.01,43,43
0.71,0.54,0.66,0.55,0.52,0.45,0.22,0.14,0.78,0.71,0.12,44,44
0.24,0.36,0.21,0.64,0.35,0.23,0.54,0.29,0.09,0.24,0.0,45,45
0.64,0.1,0.68,0.05,0.12,0.3,0.47,0.04,0.21,0.54,0.04,46,46
0.22,0.54,0.66,0.21,0.53,0.23,0.17,0.08,0.09,0.19,0.07,47,47
0.51,0.22,0.49,0.21,0.11,0.75,0.05,0.0,0.3,0.52,0.01,48,48
0.29,0.24,0.19,0.13,0.23,0.16,0.12,0.0,0.13,0.34,0.1,49,49
0.77,0.17,0.44,0.35,0.14,0.88,0.13,0.05,0.76,0.77,0.04,50,50
0.33,0.51,0.44,0.45,0.5,0.35,0.49,0.24,0.25,0.32,0.22,51,51
0.25,0.86,0.39,0.46,0.83,0.27,0.56,0.43,0.17,0.27,0.45,52,52
0.25,0.71,0.66,0.47,0.68,0.15,0.69,0.37,0.08,0.2,0.35,53,53
0.34,0.89,0.53,0.42,0.83,0.3,0.28,0.21,0.2,0.34,0.18,54,54
0.14,0.57,0.34,0.41,0.54,0.14,0.64,0.26,0.04,0.14,0.29,55,55
0.15,0.7,0.75,0.36,0.68,0.23,0.29,0.15,0.08,0.14,0.4,56,56
0.74,0.7,0.48,0.57,0.6,0.56,0.22,0.3,0.85,0.74,0.38,57,57
0.37,0.53,0.54,0.43,0.47,0.24,0.4,0.44,0.19,0.38,0.1,58,58
0.13,0.62,0.25,0.22,0.56,0.3,0.4,0.14,0.12,0.13,0.24,59,59
0.3,0.36,0.72,0.34,0.3,0.38,0.26,0.09,0.13,0.27,0.14,60,60
0.4,0.49,0.64,0.23,0.42,0.25,0.38,0.33,0.09,0.32,0.07,61,61
0.27,0.57,0.68,0.51,0.47,0.3,0.53,0.68,0.19,0.27,0.21,62,62
0.12,0.54,0.6,0.37,0.53,0.21,0.37,0.26,0.08,0.14,0.14,63,63
0.39,0.52,0.57,0.28,0.49,0.26,0.35,0.1,0.12,0.37,0.25,64,64
0.1,0.45,0.49,0.46,0.44,0.22,0.46,0.12,0.05,0.14,0.05,65,65
0.26,0.65,0.62,0.31,0.64,0.29,0.41,0.13,0.12,0.24,0.63,66,66
0.56,0.62,0.49,0.59,0.55,0.32,0.35,0.08,0.5,0.57,0.84,67,67
0.16,0.46,0.36,0.26,0.47,0.17,0.75,0.39,0.04,0.11,0.04,68,68
0.09,0.31,0.61,0.41,0.26,0.17,0.28,0.05,0.05,0.13,0.02,69,69
0.15,0.39,0.2,0.22,0.36,0.18,0.45,0.14,0.04,0.15,0.07,70,70
0.24,0.52,0.27,0.47,0.38,0.1,1.0,0.22,0.13,0.24,0.55,71,71
0.34,0.54,0.51,0.38,0.5,0.29,0.29,0.32,0.18,0.33,0.3,72,72
0.56,0.32,0.43,0.23,0.25,0.34,0.6,0.01,0.4,0.49,0.15,73,73
0.39,0.32,0.3,0.43,0.33,0.45,0.22,0.04,0.18,0.38,0.03,74,74
0.18,0.54,0.46,0.28,0.51,0.23,0.41,0.34,0.06,0.15,0.37,75,75
0.18,0.8,0.34,0.31,0.78,0.19,0.44,0.21,0.07,0.19,0.22,76,76
0.51,0.78,0.74,0.6,0.74,0.45,0.32,1.0,0.38,0.5,0.59,77,77
0.3,0.6,0.59,0.41,0.56,0.31,0.35,0.32,0.17,0.29,0.5,78,78
0.21,0.47,0.59,0.46,0.48,0.27,0.32,0.05,0.08,0.23,0.18,79,79
0.41,0.54,0.96,0.48,0.49,0.35,0.31,0.14,0.14,0.39,0.15,80,80
0.45,0.42,0.5,0.29,0.34,0.58,0.14,0.13,0.27,0.42,0.1,81,81
0.22,0.68,0.61,0.6,0.67,0.33,0.34,0.55,0.17,0.19,0.72,82,82
0.29,0.62,0.59,0.61,0.57,0.3,0.4,0.08,0.15,0.31,0.16,83,83
0.29,0.64,0.68,0.24,0.58,0.3,0.26,0.09,0.08,0.26,0.12,84,84
0.67,0.37,0.68,0.54,0.36,0.57,0.14,0.08,0.48,0.66,0.12,85,85
0.58,0.5,0.77,0.45,0.43,0.46,0.19,0.1,0.36,0.56,0.19,86,86
1.0,0.1,0.22,0.34,0.01,1.0,0.12,0.0,1.0,1.0,0.08,87,87
0.14,0.68,0.68,0.32,0.7,0.18,0.38,0.11,0.06,0.13,0.24,88,88
0.5,0.35,0.47,0.4,0.29,0.58,0.26,0.03,0.53,0.53,0.09,89,89
0.11,0.76,0.41,0.34,0.7,0.18,0.51,0.04,0.06,0.1,0.16,90,90
0.52,0.47,0.32,0.58,0.43,0.18,0.55,0.1,0.37,0.53,0.56,91,91
0.25,0.44,0.8,0.62,0.42,0.3,0.17,0.16,0.19,0.26,0.15,92,92
0.22,0.45,0.62,0.45,0.41,0.21,0.38,0.03,0.08,0.24,0.04,93,93
0.25,0.75,0.44,0.34,0.72,0.26,0.45,0.25,0.13,0.21,0.67,94,94
0.21,0.42,0.16,0.33,0.39,0.34,0.45,0.11,0.11,0.2,0.1,95,95
0.09,0.51,0.05,0.32,0.45,0.08,0.98,0.56,0.05,0.05,0.61,96,96
0.92,0.35,0.55,0.41,0.29,0.56,0.17,0.03,0.79,0.93,0.19,97,97
0.36,0.6,0.67,0.32,0.52,0.4,0.21,0.07,0.18,0.37,0.09,98,98
0.31,0.53,0.79,0.87,0.47,0.28,0.33,0.17,0.15,0.28,0.82,99,99
0.57,0.55,0.46,0.33,0.48,0.32,0.43,0.04,0.45,0.58,0.42,100,100
0.37,0.5,0.68,0.6,0.36,0.45,0.27,0.1,0.14,0.37,0.02,101,101
0.29,0.63,0.48,0.84,0.65,0.33,0.42,0.48,0.14,0.33,0.75,102,102
0.25,0.5,0.7,0.31,0.46,0.28,0.12,0.08,0.09,0.29,0.24,103,103
0.2,0.67,0.6,0.34,0.61,0.24,0.61,0.26,0.12,0.24,0.2,104,104
0.42,0.87,0.61,0.78,0.84,0.25,0.81,0.56,0.27,0.43,1.0,105,105
0.26,0.32,0.34,0.28,0.3,0.14,0.34,0.17,0.07,0.26,0.22,106,106
0.53,0.3,0.39,0.4,0.26,0.47,0.25,0.11,0.37,0.55,0.06,107,107
0.33,0.49,0.52,1.0,0.37,0.18,0.61,0.09,0.23,0.34,0.19,108,108
0.1,0.39,0.14,0.34,0.35,0.08,0.93,0.85,0.01,0.1,0.1,109,109
0.32,0.96,0.9,0.47,0.76,0.28,0.62,0.44,0.09,0.34,0.38,110,110
0.82,0.12,0.51,0.38,0.08,0.7,0.06,0.0,0.6,0.76,0.04,111,111
0.44,0.28,0.66,0.39,0.24,0.39,0.41,0.2,0.33,0.41,0.27,112,112
0.6,0.41,0.48,0.39,0.34,0.55,0.16,0.03,0.37,0.62,0.04,113,113
0.51,0.23,0.67,0.24,0.17,0.37,0.08,0.02,0.18,0.42,0.08,114,114
0.58,0.32,0.5,0.41,0.33,0.53,0.28,0.07,0.43,0.58,0.17,115,115
0.27,0.62,0.65,0.47,0.6,0.23,0.51,0.36,0.05,0.25,0.45,116,116
0.38,0.48,0.97,0.32,0.38,0.38,0.12,0.04,0.14,0.33,0.12,117,117
0.28,0.49,0.5,0.3,0.41,0.25,0.23,0.25,0.18,0.26,0.29,118,118
0.26,0.51,0.67,0.24,0.45,0.28,0.29,0.06,0.13,0.28,0.15,119,119
0.6,0.78,0.61,0.42,0.73,0.51,0.21,0.12,0.54,0.58,0.14,120,120
0.27,0.58,0.62,0.3,0.49,0.26,0.16,0.0,0.13,0.29,0.19,121,121
0.51,0.67,0.22,0.69,0.62,0.36,0.41,0.26,0.62,0.52,0.67,122,122
0.86,0.23,0.33,0.38,0.24,1.0,0.11,0.05,0.83,0.83,0.04,123,123
0.11,0.48,0.42,0.4,0.45,0.18,0.53,0.14,0.03,0.12,0.13,124,124
0.29,0.6,0.57,1.0,0.52,0.47,0.33,0.37,0.82,0.33,0.67,125,125
0.3,0.68,0.47,0.38,0.62,0.24,0.16,0.16,0.09,0.3,0.19,126,126
0.42,0.68,0.71,0.45,0.66,0.23,0.33,0.05,0.13,0.39,0.5,127,127
0.53,0.46,0.44,0.45,0.47,0.37,0.28,0.04,0.27,0.51,0.15,128,128
0.42,0.37,0.53,0.51,0.34,0.31,0.3,0.07,0.32,0.4,0.37,129,129
1.0,0.29,0.24,0.2,0.26,1.0,0.13,0.09,1.0,1.0,0.02,130,130
0.37,0.37,0.33,0.35,0.38,0.46,0.15,0.08,0.24,0.37,0.01,131,131
0.19,0.66,0.73,0.47,0.58,0.26,0.21,0.15,0.12,0.16,0.21,132,132
0.62,0.32,0.48,0.51,0.29,0.49,0.25,0.14,0.39,0.63,0.03,133,133
0.73,0.11,0.43,0.03,0.14,0.33,0.42,0.05,0.22,0.56,0.04,134,134
0.35,0.66,0.67,0.55,0.6,0.31,0.19,0.03,0.2,0.34,0.2,135,135
0.14,0.5,0.47,0.37,0.44,0.23,0.44,0.13,0.1,0.13,0.25,136,136
0.87,0.42,0.51,0.5,0.36,0.53,0.21,0.01,0.77,0.88,0.11,137,137
0.33,0.79,0.73,0.42,0.74,0.35,0.42,0.14,0.16,0.32,0.13,138,138
0.21,0.51,0.62,0.66,0.45,0.29,0.37,0.29,0.13,0.21,0.09,139,139
0.15,0.61,0.83,0.41,0.56,0.24,0.44,0.36,0.11,0.11,1.0,140,140
0.2,0.29,0.67,0.34,0.33,0.23,0.29,0.0,0.08,0.21,0.03,141,141
0.12,0.37,0.9,0.4,0.43,0.2,0.07,0.0,0.07,0.13,0.08,142,142
0.21,0.58,0.45,0.25,0.59,0.21,0.49,0.14,0.09,0.21,0.2,143,143
0.26,0.48,0.41,0.22,0.41,0.24,0.24,0.04,0.18,0.23,0.34,144,144
0.31,0.73,0.53,0.47,0.69,0.31,0.41,0.29,0.17,0.31,0.45,145,145
0.25,0.68,0.6,0.44,0.66,0.34,0.29,0.02,0.27,0.24,0.51,146,146
0.41,0.64,0.65,0.28,0.58,0.32,0.23,0.06,0.19,0.36,0.15,147,147
0.54,0.16,0.36,0.38,0.14,0.52,0.09,0.0,0.39,0.53,0.05,148,148
0.0,0.39,0.0,0.49,0.24,0.0,1.0,0.68,0.02,0.03,0.52,149,149
0.2,0.58,0.26,0.32,0.55,0.23,0.51,0.2,0.09,0.19,0.24,150,150
0.15,0.6,0.63,0.28,0.55,0.21,0.24,0.1,0.08,0.15,0.18,151,151
0.68,0.24,0.38,0.4,0.23,0.48,0.33,0.33,0.46,0.69,0.04,152,152
0.31,0.64,0.58,0.4,0.58,0.29,0.36,0.02,0.17,0.3,0.34,153,153
0.16,0.5,0.78,0.36,0.56,0.15,0.33,0.42,0.05,0.11,1.0,154,154
0.2,0.19,0.48,0.46,0.22,0.26,0.35,0.13,0.11,0.18,0.22,155,155
0.13,0.75,0.44,0.36,0.75,0.24,0.37,0.35,0.09,0.17,0.12,156,156
0.25,0.48,0.34,0.23,0.45,0.24,0.57,0.08,0.09,0.23,0.14,157,157
0.65,0.35,0.52,0.44,0.31,0.49,0.3,0.49,0.36,0.62,0.12,158,158
0.41,0.48,0.71,0.46,0.46,0.33,0.14,0.03,0.15,0.42,0.06,159,159
0.65,0.18,0.48,0.48,0.18,0.44,0.2,0.07,0.49,0.6,0.08,160,160
0.31,0.51,0.75,0.25,0.45,0.29,0.18,0.03,0.11,0.29,0.06,161,161
0.29,0.22,0.67,0.32,0.22,0.41,0.32,0.15,0.35,0.28,0.26,162,162
0.57,0.31,0.54,0.37,0.28,0.42,0.17,0.03,0.34,0.56,0.04,163,163
0.26,0.63,0.28,0.36,0.68,0.18,0.49,0.73,0.02,0.19,0.29,164,164
0.21,0.63,0.65,0.31,0.61,0.28,0.38,0.1,0.12,0.24,0.08,165,165
0.31,0.73,0.8,0.36,0.72,0.38,0.1,0.0,0.1,0.31,0.08,166,166
0.09,0.72,0.0,0.3,0.66,0.18,0.79,0.3,0.03,0.1,0.27,167,167
0.24,0.73,0.2,0.61,0.66,0.21,0.47,0.31,0.11,0.25,0.26,168,168
0.11,0.57,0.63,0.42,0.5,0.13,0.77,0.21,0.07,0.06,0.96,169,169
0.5,0.33,0.59,0.78,0.26,0.43,0.22,0.01,0.56,0.53,0.08,170,170
0.25,0.77,0.46,0.32,0.74,0.21,0.43,0.5,0.07,0.24,0.1,171,171
0.21,0.59,0.49,0.42,0.6,0.3,0.28,0.03,0.11,0.25,0.05,172,172
0.82,0.18,0.4,0.38,0.2,0.67,0.11,0.13,0.67,0.77,0.02,173,173
0.6,0.41,0.72,0.31,0.41,0.44,0.25,0.16,0.35,0.54,0.05,174,174
0.21,0.79,0.66,0.66,0.79,0.18,0.55,0.83,0.08,0.17,0.55,175,175
0.42,0.67,0.36,0.69,0.64,0.16,0.81,1.0,0.22,0.4,0.64,176,176
0.53,0.33,0.72,0.39,0.35,0.43,0.23,0.5,0.36,0.48,0.04,177,177
0.13,0.58,0.83,0.59,0.63,0.18,0.19,0.28,0.06,0.1,0.16,178,178
0.21,0.59,0.63,0.28,0.57,0.24,0.5,0.16,0.1,0.18,0.01,179,179
0.54,0.8,0.47,0.47,0.76,0.31,0.35,0.12,0.49,0.56,0.7,180,180
0.44,0.45,0.55,0.46,0.42,0.21,0.75,0.09,0.45,0.46,0.38,181,181
0.47,0.25,0.58,0.27,0.25,0.4,0.12,0.25,0.28,0.43,0.15,182,182
0.19,0.34,0.54,0.19,0.33,0.36,0.25,0.02,0.1,0.17,0.01,183,183
0.46,0.41,0.57,0.39,0.46,0.34,0.12,0.19,0.27,0.46,0.12,184,184
0.65,0.24,0.63,0.51,0.23,0.48,0.26,0.08,0.47,0.65,0.06,185,185
0.19,0.56,0.52,0.3,0.62,0.33,0.3,0.57,0.13,0.2,0.27,186,186
0.33,0.83,0.86,0.59,0.7,0.25,0.56,0.65,0.11,0.3,0.65,187,187
0.94,0.22,0.54,0.37,0.16,0.88,0.17,0.0,0.82,0.95,0.01,188,188
0.21,0.68,0.77,0.3,0.65,0.24,0.14,0.03,0.11,0.18,0.45,189,189
0.24,0.78,0.57,0.46,0.8,0.26,0.4,0.15,0.11,0.25,0.14,190,190
0.1,0.32,0.52,0.35,0.31,0.26,0.47,0.17,0.06,0.09,0.19,191,191
0.24,0.42,0.55,0.33,0.39,0.34,0.24,0.1,0.09,0.23,0.07,192,192
0.87,0.5,0.58,0.43,0.45,0.46,0.22,0.0,0.61,0.88,0.1,193,193
0.3,0.49,0.53,0.25,0.47,0.42,0.22,0.02,0.15,0.3,0.05,194,194
0.23,0.83,0.57,0.53,0.83,0.25,0.59,0.58,0.11,0.23,0.72,195,195
0.17,0.69,0.54,0.48,0.61,0.2,0.77,1.0,0.11,0.14,1.0,196,196
0.13,0.0,0.3,1.0,0.0,0.05,0.57,0.11,0.13,0.15,0.02,197,197
0.17,0.72,0.52,0.38,0.63,0.21,0.41,0.12,0.08,0.13,0.24,198,198
0.7,0.48,0.34,0.57,0.49,0.54,0.33,0.29,0.49,0.67,0.16,199,199
0.24,0.57,0.73,0.37,0.6,0.28,0.22,0.27,0.13,0.21,0.3,200,200
0.41,0.66,0.82,0.66,0.62,0.41,0.07,0.0,0.18,0.45,0.12,201,201
0.32,0.66,0.65,0.3,0.59,0.23,0.29,0.11,0.13,0.29,0.12,202,202
0.41,0.44,0.64,0.4,0.42,0.37,0.45,0.05,0.31,0.41,0.17,203,203
0.41,0.4,0.67,0.35,0.36,0.31,0.42,0.14,0.26,0.4,0.18,204,204
0.5,0.6,0.45,0.69,0.56,0.27,0.72,1.0,0.32,0.45,0.79,205,205
0.24,0.59,0.69,0.41,0.57,0.28,0.23,0.08,0.08,0.24,0.08,206,206
0.26,0.75,0.49,0.45,0.73,0.27,0.48,1.0,0.12,0.26,0.63,207,207
0.51,0.46,0.21,0.64,0.4,0.13,0.62,0.14,0.33,0.52,0.69,208,208
0.31,0.48,0.74,0.4,0.49,0.3,0.21,0.03,0.09,0.33,0.1,209,209
0.99,0.17,0.5,0.38,0.16,0.63,0.13,0.14,0.54,0.89,0.01,210,210
0.32,0.23,0.61,0.34,0.24,0.39,0.24,0.08,0.16,0.32,0.02,211,211
0.24,0.63,0.71,0.26,0.6,0.28,0.32,0.15,0.08,0.23,0.24,212,212
0.17,0.4,0.32,0.72,0.35,0.19,0.46,0.09,0.07,0.18,0.03,213,213
0.63,0.71,0.73,0.71,0.7,0.7,0.17,0.04,0.7,0.66,0.27,214,214
0.67,0.17,0.32,0.8,0.12,0.8,0.17,0.01,0.85,0.67,0.02,215,215
0.52,0.48,0.43,0.34,0.42,0.25,0.47,1.0,0.29,0.48,0.16,216,216
0.18,0.55,0.49,0.35,0.56,0.17,0.61,0.06,0.05,0.14,0.03,217,217
0.18,0.65,0.67,0.46,0.59,0.21,0.43,0.1,0.08,0.15,0.7,218,218
0.14,0.37,0.0,0.25,0.36,0.13,0.79,0.25,0.04,0.11,0.29,219,219
0.43,0.26,0.63,0.34,0.27,0.37,0.32,0.22,0.35,0.39,0.02,220,220
0.16,0.64,0.85,0.27,0.66,0.24,0.37,0.15,0.05,0.18,0.26,221,221
0.27,0.74,0.29,0.53,0.72,0.16,0.45,0.24,0.13,0.25,1.0,222,222
0.15,0.92,0.57,0.47,0.87,0.13,0.63,0.53,0.05,0.11,0.86,223,223
0.29,0.56,0.55,0.69,0.53,0.29,0.27,0.18,0.22,0.3,0.14,224,224
0.17,0.71,0.35,0.24,0.77,0.13,0.65,0.43,0.05,0.13,0.28,225,225
0.61,0.26,0.55,0.33,0.28,0.48,0.06,0.0,0.35,0.62,0.03,226,226
0.41,0.35,0.43,0.28,0.37,0.4,0.27,0.07,0.31,0.38,0.08,227,227
0.59,0.27,0.57,0.47,0.24,0.48,0.39,0.1,0.47,0.59,0.03,228,228
0.28,0.58,0.78,0.34,0.54,0.24,0.53,0.15,0.13,0.29,0.11,229,229
0.14,0.57,0.79,0.29,0.54,0.21,0.42,0.06,0.04,0.15,0.08,230,230
0.26,0.55,0.71,0.25,0.53,0.25,0.24,0.09,0.1,0.25,0.01,231,231
0.19,0.37,0.6,0.91,0.37,0.15,0.46,0.27,0.12,0.2,0.28,232,232
0.23,0.68,0.63,0.28,0.61,0.2,0.51,1.0,0.04,0.2,0.12,233,233
0.16,0.79,0.6,0.56,0.75,0.17,0.62,0.55,0.07,0.13,1.0,234,234
0.69,0.26,0.56,0.6,0.23,0.56,0.25,0.05,0.51,0.69,0.08,235,235
0.42,0.51,0.66,0.29,0.39,0.41,0.25,0.05,0.2,0.41,0.19,236,236
0.16,0.69,0.39,0.3,0.65,0.25,0.73,0.14,0.08,0.13,0.17,237,237
0.34,0.52,0.49,0.51,0.5,0.23,0.55,0.37,0.14,0.32,0.35,238,238
0.25,0.54,0.69,0.42,0.47,0.25,0.3,0.08,0.09,0.26,0.18,239,239
0.61,0.3,0.72,0.12,0.29,0.41,0.14,0.15,0.17,0.5,0.14,240,240
0.2,0.6,0.78,0.42,0.62,0.22,0.31,0.92,0.08,0.2,0.21,241,241
0.27,0.66,0.64,0.73,0.59,0.31,0.39,0.46,0.15,0.27,0.25,242,242
0.48,0.32,0.73,0.56,0.33,0.44,0.19,0.18,0.33,0.51,0.09,243,243
0.3,0.29,0.43,0.0,0.31,0.6,0.2,0.07,0.46,0.3,0.17,244,244
0.2,0.61,0.54,0.33,0.58,0.25,0.39,0.32,0.08,0.19,0.33,245,245
0.46,0.79,0.72,0.6,0.73,0.48,0.2,0.1,0.15,0.43,0.18,246,246
0.62,0.53,0.65,0.45,0.45,0.57,0.18,0.06,0.69,0.63,0.38,247,247
0.54,0.46,0.37,1.0,0.42,0.36,0.54,0.53,0.38,0.52,0.81,248,248
0.68,0.69,0.68,0.56,0.54,0.45,0.25,0.09,0.66,0.7,0.14,249,249
0.19,0.5,0.81,0.34,0.51,0.21,0.3,0.21,0.04,0.18,0.41,250,250
0.43,0.35,0.65,0.33,0.3,0.53,0.08,0.01,0.26,0.4,0.07,251,251
0.36,0.74,0.69,0.51,0.68,0.39,0.31,0.08,0.16,0.37,0.17,252,252
0.27,0.53,0.53,0.36,0.49,0.21,0.24,0.12,0.09,0.28,0.1,253,253
0.67,0.46,0.89,0.48,0.39,0.49,0.09,0.18,0.39,0.66,0.05,254,254
0.17,0.56,0.52,0.64,0.53,0.23,0.44,0.12,0.12,0.18,0.33,255,255
0.29,0.36,0.4,0.27,0.32,0.31,0.31,0.1,0.12,0.28,0.04,256,256
0.14,0.45,0.57,0.33,0.42,0.18,0.48,0.05,0.03,0.13,0.05,257,257
0.42,0.37,0.61,0.02,0.37,0.51,0.21,0.0,0.23,0.42,0.15,258,258
0.81,0.25,0.52,0.21,0.25,0.56,0.12,0.06,0.43,0.67,0.02,259,259
0.59,0.29,0.49,0.38,0.23,0.62,0.14,0.33,0.45,0.58,0.08,260,260
0.53,0.77,0.49,0.71,0.63,0.23,0.68,0.24,0.42,0.53,0.86,261,261
0.14,0.58,0.68,0.28,0.61,0.26,0.4,0.18,0.09,0.16,0.1,262,262
0.42,0.61,0.6,0.29,0.57,0.33,0.21,0.08,0.56,0.43,0.14,263,263
0.12,0.61,0.77,0.18,0.58,0.2,0.19,0.07,0.08,0.08,0.03,264,264
0.21,0.75,0.42,0.32,0.75,0.23,0.53,0.84,0.08,0.21,0.28,265,265
0.41,0.54,0.43,0.62,0.52,0.24,0.67,0.36,0.33,0.41,0.54,266,266
0.16,0.72,0.51,0.22,0.72,0.25,0.51,0.12,0.07,0.13,0.3,267,267
0.28,0.41,0.55,0.73,0.36,0.28,0.34,0.06,0.16,0.31,0.16,268,268
0.33,0.71,0.57,0.71,0.7,0.45,0.28,0.25,0.39,0.37,0.58,269,269
0.22,0.31,0.4,0.31,0.31,0.44,0.22,0.12,0.14,0.28,0.02,270,270
0.37,0.27,0.55,1.0,0.22,0.38,0.24,0.03,0.4,0.35,0.28,271,271
0.39,0.45,0.75,0.36,0.42,0.32,0.36,0.3,0.26,0.38,0.03,272,272
0.28,0.92,0.56,0.38,0.89,0.27,0.3,0.13,0.1,0.27,0.32,273,273
0.19,0.37,0.88,0.39,0.34,0.28,0.24,0.02,0.12,0.24,0.03,274,274
0.47,0.37,0.57,0.24,0.38,0.26,0.5,0.02,0.17,0.42,0.1,275,275
0.18,0.71,0.63,0.55,0.7,0.24,0.43,0.41,0.11,0.17,1.0,276,276
0.37,0.66,0.6,0.28,0.65,0.52,0.45,0.03,0.36,0.35,0.27,277,277
0.63,0.27,0.68,0.42,0.23,0.57,0.31,0.19,0.43,0.66,0.15,278,278
0.09,0.47,0.21,0.35,0.41,0.1,0.95,0.61,0.05,0.11,0.14,279,279
0.63,0.34,0.46,0.52,0.32,0.58,0.14,0.06,0.55,0.64,0.06,280,280
0.6,0.31,0.47,0.46,0.29,0.35,0.27,0.06,0.39,0.6,0.32,281,281
0.39,0.62,0.11,0.32,0.56,0.22,0.67,0.16,0.21,0.39,0.36,282,282
0.69,0.22,0.32,0.3,0.24,0.67,0.2,0.06,0.57,0.67,0.02,283,283
0.54,0.49,0.67,0.28,0.48,0.4,0.31,0.11,0.16,0.5,0.56,284,284
0.47,0.38,0.5,0.44,0.37,0.37,0.29,0.07,0.32,0.43,0.08,285,285
