id,pct_empl_prof_serv,med_own_cost_pct_inc,num_in_shelters,pct_work_mom_young_kids,hous_vacant,pct_same_city85,pct_w_farm_self,white_per_cap,pct_hous_occup,pop_dens,violent_crimes_per_pop
53,0.64,0.51,0.0,0.7,0.03,0.67,0.16,0.23,0.49,0.06,0.35
54, , , , , , , , , , , 
55, , , , , , , , , , , 
56, , , , , , , , , , , 
57, , , , , , , , , , , 
58, , , , , , , , , , , 
59, , , , , , , , , , , 
60, , , , , , , , , , , 
61, , , , , , , , , , , 
62,0.57,0.53,0.0,0.52,0.01,0.7,0.14,0.34,0.86,0.44,0.21
63, , , , , , , , , , , 
64,0.23,0.51,0.0,0.58,0.16,0.3,0.19,0.26,0.53,0.08,0.25
65, , , , , , , , , , , 
66, , , , , , , , , , , 
67,0.23,0.48,0.0,0.56,0.05,0.82,0.16,0.32,0.83,0.79,0.84
68, , , , , , , , , , , 
69,0.52,0.47,0.0,0.71,0.03,0.73,1.0,0.16,0.61,0.13,0.02
70,0.34,0.18,0.0,0.31,0.02,0.74,0.62,0.21,0.55,0.19,0.07
71, , , , , , , , , , , 
72, , , , , , , , , , , 
73, , , , , , , , , , , 
74,0.38,0.3,0.0,0.25,0.03,0.66,0.09,0.44,0.67,0.07,0.03
75,0.5,0.35,0.01,0.5,0.18,0.63,0.67,0.23,0.31,0.05,0.37
76, , , , , , , , , , , 
77,0.54,0.44,0.01,0.66,0.06,0.64,0.25,0.61,0.69,0.44,0.59
78, , , , , , , , , , , 
79, , , , , , , , , , , 
80,0.68,0.53,0.0,0.97,0.01,0.58,0.24,0.34,0.84,0.62,0.15
81,0.66,0.22,0.0,0.46,0.02,0.76,0.22,0.59,0.85,0.25,0.1
82,0.57,0.35,0.07,0.58,0.12,0.62,0.17,0.46,0.64,0.19,0.72
83, , , , , , , , , , , 
84,0.32,0.25,0.0,0.55,0.03,0.74,0.16,0.29,0.8,0.21,0.12
85, , , , , , , , , , , 
86,0.4,0.54,0.01,0.75,0.05,0.77,0.15,0.46,0.84,0.16,0.19
87,0.76,0.5,0.0,0.41,0.01,0.79,0.4,1.0,0.88,0.29,0.08
88, , , , , , , , , , , 
89, , , , , , , , , , , 
90, , , , , , , , , , , 
91, , , , , , , , , , , 
92, , , , , , , , , , , 
93, , , , , , , , , , , 
94, , , , , , , , , , , 
95,0.55,0.21,0.0,0.27,0.02,0.81,0.03,0.31,0.82,0.09,0.1
96, , , , , , , , , , , 
97,0.35,0.85,0.0,0.55,0.04,0.59,0.2,0.58,0.85,0.3,0.19
98, , , , , , , , , , , 
99, , , , , , , , , , , 
100, , , , , , , , , , , 
101, , , , , , , , , , , 
102,0.62,0.42,0.62,0.5,0.64,0.6,0.2,0.39,0.73,0.56,0.75
103,0.22,0.1,0.0,0.65,0.01,0.61,0.13,0.27,0.9,0.16,0.24
104,0.44,0.28,0.03,0.52,0.02,0.57,0.78,0.25,0.82,0.3,0.2
105, , , , , , , , , , , 
106, , , , , , , , , , , 
107, , , , , , , , , , , 
108, , , , , , , , , , , 
109, , , , , , , , , , , 
110,0.55,0.56,0.0,0.73,0.02,0.96,0.13,0.32,0.79,0.33,0.38
111, , , , , , , , , , , 
112, , , , , , , , , , , 
113, , , , , , , , , , , 
114, , , , , , , , , , , 
115, , , , , , , , , , , 
116,0.5,0.2,0.14,0.65,0.19,0.78,0.11,0.27,0.7,0.24,0.45
117, , , , , , , , , , , 
118,0.43,0.51,0.0,0.52,0.04,0.23,0.36,0.28,0.67,0.13,0.29
119,0.37,0.49,0.02,0.61,0.03,0.59,0.3,0.27,0.84,0.15,0.15
120, , , , , , , , , , , 
121,0.28,0.13,0.0,0.65,0.02,0.42,0.25,0.25,0.83,0.19,0.19
122, , , , , , , , , , , 
123, , , , , , , , , , , 
124,0.45,0.15,0.03,0.47,0.11,0.9,0.19,0.17,0.64,0.44,0.13
125, , , , , , , , , , , 
126, , , , , , , , , , , 
127, , , , , , , , , , , 
128, , , , , , , , , , , 
129, , , , , , , , , , , 
130,0.78,0.58,0.0,0.29,0.01,0.62,0.44,1.0,0.93,0.11,0.02
131, , , , , , , , , , , 
132,0.67,0.32,0.0,0.62,0.03,0.69,0.6,0.28,0.69,0.07,0.21
133, , , , , , , , , , , 
134, , , , , , , , , , , 
135,0.45,0.58,0.01,0.68,0.01,0.46,0.06,0.31,0.8,0.2,0.2
136,0.45,0.22,0.02,0.62,0.05,0.68,0.38,0.25,0.76,0.13,0.25
137,0.32,0.52,0.0,0.43,0.03,0.71,0.36,0.56,0.89,0.5,0.11
138, , , , , , , , , , , 
139,0.78,0.33,0.02,0.53,0.2,0.35,0.57,0.3,0.56,0.04,0.09
140, , , , , , , , , , , 
141, , , , , , , , , , , 
142, , , , , , , , , , , 
143, , , , , , , , , , , 
144, , , , , , , , , , , 
145, , , , , , , , , , , 
146,0.46,0.41,0.02,0.68,0.04,0.58,0.28,0.46,0.62,0.07,0.51
147, , , , , , , , , , , 
148, , , , , , , , , , , 
149,0.49,0.7,0.0,0.08,0.02,0.89,0.45,0.0,0.54,0.14,0.52
150, , , , , , , , , , , 
151, , , , , , , , , , , 
152, , , , , , , , , , , 
153, , , , , , , , , , , 
154, , , , , , , , , , , 
155,0.51,0.28,0.01,0.49,0.01,0.72,0.2,0.25,0.87,0.05,0.22
156, , , , , , , , , , , 
157,0.34,0.39,0.0,0.37,0.06,0.68,0.47,0.24,0.51,0.09,0.14
158,0.4,0.66,0.01,0.4,0.01,0.59,0.19,0.51,0.85,0.26,0.12
159,0.43,0.46,0.01,0.64,0.04,0.64,0.14,0.33,0.87,0.27,0.06
160,0.32,0.32,0.0,0.28,0.0,0.87,0.0,0.43,0.9,0.21,0.08
161, , , , , , , , , , , 
162,0.36,0.51,0.0,0.56,0.02,0.8,0.24,0.4,0.86,0.09,0.26
163, , , , , , , , , , , 
164, , , , , , , , , , , 
165, , , , , , , , , , , 
166, , , , , , , , , , , 
167, , , , , , , , , , , 
168, , , , , , , , , , , 
169, , , , , , , , , , , 
170,0.4,0.78,0.0,0.5,0.03,0.16,0.34,0.47,0.72,0.12,0.08
171, , , , , , , , , , , 
172, , , , , , , , , , , 
173, , , , , , , , , , , 
174, , , , , , , , , , , 
175, , , , , , , , , , , 
176, , , , , , , , , , , 
177, , , , , , , , , , , 
178,0.93,0.17,0.0,0.82,0.02,0.49,0.54,0.18,0.64,0.08,0.16
179,0.28,0.22,0.0,0.51,0.01,0.74,0.27,0.23,0.82,0.15,0.01
180, , , , , , , , , , , 
181, , , , , , , , , , , 
182, , , , , , , , , , , 
183,0.44,0.09,0.0,0.72,0.01,0.83,0.05,0.33,0.75,0.24,0.01
184,0.37,0.51,0.0,0.59,0.02,0.9,0.16,0.32,0.73,0.19,0.12
185, , , , , , , , , , , 
186,0.3,0.22,0.0,0.48,0.05,0.75,0.37,0.32,0.52,0.09,0.27
187, , , , , , , , , , , 
188, , , , , , , , , , , 
189, , , , , , , , , , , 
190, , , , , , , , , , , 
191, , , , , , , , , , , 
192, , , , , , , , , , , 
193, , , , , , , , , , , 
194, , , , , , , , , , , 
195,0.85,0.42,0.06,0.54,0.36,0.69,0.24,0.34,0.04,0.11,0.72
196, , , , , , , , , , , 
197, , , , , , , , , , , 
198,0.71,0.48,0.0,0.52,0.04,0.72,0.12,0.39,0.61,0.1,0.24
199, , , , , , , , , , , 
200, , , , , , , , , , , 
201, , , , , , , , , , , 
202, , , , , , , , , , , 
203, , , , , , , , , , , 
204, , , , , , , , , , , 
205, , , , , , , , , , , 
206, , , , , , , , , , , 
207,0.35,0.46,0.52,0.49,1.0,0.68,0.28,0.37,0.43,0.13,0.63
208,0.2,0.64,0.0,0.25,0.01,0.83,0.12,0.13,0.91,0.89,0.69
209, , , , , , , , , , , 
210, , , , , , , , , , , 
211,0.25,0.37,0.0,0.52,0.01,0.78,0.45,0.38,0.92,0.04,0.02
212,0.3,0.18,0.0,0.73,0.16,0.81,0.24,0.27,0.77,0.12,0.24
213,0.61,0.37,0.0,0.18,0.04,0.3,1.0,0.19,0.45,0.14,0.03
214, , , , , , , , , , , 
215,0.89,0.37,0.0,0.35,0.04,0.33,0.44,0.8,0.72,0.17,0.02
216,0.25,0.84,0.0,0.45,0.02,0.2,0.15,0.29,0.83,0.53,0.16
217, , , , , , , , , , , 
218, , , , , , , , , , , 
219, , , , , , , , , , , 
220,0.44,0.53,0.0,0.51,0.02,0.75,0.57,0.36,0.76,0.04,0.02
221, , , , , , , , , , , 
222, , , , , , , , , , , 
223, , , , , , , , , , , 
224, , , , , , , , , , , 
225, , , , , , , , , , , 
226, , , , , , , , , , , 
227, , , , , , , , , , , 
228, , , , , , , , , , , 
229, , , , , , , , , , , 
230, , , , , , , , , , , 
231, , , , , , , , , , , 
232, , , , , , , , , , , 
233,0.24,0.18,0.0,0.53,0.08,0.82,0.16,0.22,0.37,0.26,0.12
234, , , , , , , , , , , 
235,0.8,0.42,0.0,0.52,0.03,0.76,0.21,0.54,0.9,0.72,0.08
236, , , , , , , , , , , 
237, , , , , , , , , , , 
238, , , , , , , , , , , 
239, , , , , , , , , , , 
240,0.32,0.64,0.0,0.73,0.03,0.55,0.14,0.41,0.71,0.1,0.14
241, , , , , , , , , , , 
242, , , , , , , , , , , 
243, , , , , , , , , , , 
244, , , , , , , , , , , 
245, , , , , , , , , , , 
246,0.25,0.39,0.0,0.71,0.1,0.26,0.19,0.5,0.5,0.23,0.18
247, , , , , , , , , , , 
248, , , , , , , , , , , 
249,0.31,0.66,0.02,0.71,0.05,0.47,0.23,0.5,0.82,0.38,0.14
250, , , , , , , , , , , 
251, , , , , , , , , , , 
252, , , , , , , , , , , 
253, , , , , , , , , , , 
254, , , , , , , , , , , 
255,0.57,0.37,0.02,0.46,0.08,0.54,0.41,0.24,0.65,0.12,0.33
256, , , , , , , , , , , 
257, , , , , , , , , , , 
258, , , , , , , , , , , 
259, , , , , , , , , , , 
260, , , , , , , , , , , 
261,0.38,0.77,0.01,0.47,0.14,0.79,0.2,0.26,0.74,1.0,0.86
262, , , , , , , , , , , 
263, , , , , , , , , , , 
264,0.15,0.3,0.0,0.69,0.02,0.83,0.41,0.19,0.64,0.02,0.03
265, , , , , , , , , , , 
266, , , , , , , , , , , 
267,0.48,0.37,0.04,0.45,0.07,0.72,0.56,0.29,0.46,0.04,0.3
268,0.68,0.48,0.02,0.52,0.09,0.27,0.52,0.28,0.83,0.18,0.16
269,0.59,0.44,1.0,0.59,0.66,0.6,0.22,0.51,0.82,0.51,0.58
270, , , , , , , , , , , 
271,1.0,0.5,0.01,0.49,0.06,0.0,0.44,0.42,0.71,0.2,0.28
272, , , , , , , , , , , 
273, , , , , , , , , , , 
274,0.57,0.41,0.03,0.84,0.04,0.64,1.0,0.27,0.88,0.17,0.03
275,0.39,0.58,0.0,0.43,0.23,0.66,0.14,0.25,0.0,0.06,0.1
276, , , , , , , , , , , 
277,0.4,0.52,0.0,0.63,0.09,0.49,0.18,0.52,0.23,0.13,0.27
278,0.45,0.39,0.0,0.5,0.02,0.83,0.32,0.56,0.91,0.12,0.15
279, , , , , , , , , , , 
280, , , , , , , , , , , 
281, , , , , , , , , , , 
282, , , , , , , , , , , 
283, , , , , , , , , , , 
284, , , , , , , , , , , 
285,0.5,0.54,0.0,0.41,0.01,0.53,0.3,0.35,0.85,0.04,0.08
286, , , , , , , , , , , 
287,0.48,0.64,0.0,0.49,0.04,0.42,0.17,0.67,0.68,0.18,0.11
288, , , , , , , , , , , 
289,0.64,0.5,0.1,0.65,0.19,0.59,0.22,0.46,0.57,0.15,0.53
290, , , , , , , , , , , 
291, , , , , , , , , , , 
292, , , , , , , , , , , 
293,0.7,0.44,0.0,0.38,0.12,0.84,0.68,0.09,0.0,0.22,0.2
294,0.32,0.44,0.0,0.75,0.02,0.52,0.37,0.34,0.69,0.07,0.26
295,0.37,0.24,0.0,0.52,0.06,0.74,0.13,0.24,0.59,0.1,0.34
296, , , , , , , , , , , 
297,0.51,0.2,0.19,0.56,0.27,0.5,0.33,0.22,0.67,0.17,0.18
298, , , , , , , , , , , 
299, , , , , , , , , , , 
300, , , , , , , , , , , 
301, , , , , , , , , , , 
302, , , , , , , , , , , 
303,0.24,0.46,0.02,0.51,0.16,0.24,0.14,0.22,0.51,0.12,0.93
304, , , , , , , , , , , 
305, , , , , , , , , , , 
306,0.39,0.2,0.0,0.71,0.03,0.84,0.22,0.32,0.87,0.26,0.11
307, , , , , , , , , , , 
308,0.26,0.8,0.12,0.31,0.11,0.67,0.18,0.23,0.8,0.48,0.67
309,0.61,0.59,0.0,0.45,0.05,0.76,0.22,0.57,0.42,0.08,0.02
310,0.44,0.68,0.13,0.51,0.11,0.57,0.28,0.43,0.85,0.28,0.22
311, , , , , , , , , , , 
312,0.3,0.67,0.0,0.45,0.0,0.79,0.21,0.47,0.91,0.3,0.02
313, , , , , , , , , , , 
314,0.52,0.54,0.01,0.39,0.02,0.74,0.24,0.71,0.92,0.27,0.12
315, , , , , , , , , , , 
316,0.42,0.19,0.01,0.56,0.05,0.68,0.15,0.22,0.78,0.23,0.53
317,0.53,0.46,0.05,0.64,0.07,0.65,0.25,0.52,0.82,0.22,0.4
318,0.3,0.67,0.0,0.44,0.02,0.42,0.43,0.27,0.64,0.42,0.19
319,0.09,0.8,0.02,0.39,0.03,0.75,0.12,0.34,0.79,1.0,0.82
320,0.3,0.35,0.01,0.49,0.02,0.54,0.18,0.31,0.75,0.09,0.03
321, , , , , , , , , , , 
322, , , , , , , , , , , 
323, , , , , , , , , , , 
324, , , , , , , , , , , 
325, , , , , , , , , , , 
326, , , , , , , , , , , 
327, , , , , , , , , , , 
328, , , , , , , , , , , 
329,0.29,0.47,0.03,0.54,0.01,0.76,0.32,0.38,0.83,0.08,0.18
330,0.51,0.13,0.0,0.19,0.02,0.8,0.55,0.16,0.67,0.09,0.23
331,0.57,0.31,0.12,0.55,0.39,0.8,0.16,0.37,0.64,0.14,0.44
332, , , , , , , , , , , 
333, , , , , , , , , , , 
334,0.44,0.37,0.0,0.61,0.01,0.83,0.14,0.43,0.84,0.23,0.06
335, , , , , , , , , , , 
336, , , , , , , , , , , 
337, , , , , , , , , , , 
338,0.5,0.73,0.0,0.41,0.01,0.39,0.48,0.58,0.81,0.07,0.1
339, , , , , , , , , , , 
340, , , , , , , , , , , 
341, , , , , , , , , , , 
342,0.33,0.68,0.0,0.18,0.47,0.06,0.17,0.2,0.0,0.0,0.42
343, , , , , , , , , , , 
344, , , , , , , , , , , 
345, , , , , , , , , , , 
346,0.31,0.59,0.01,0.54,0.56,0.67,0.15,0.55,0.0,0.3,1.0
347,0.58,0.56,0.0,0.36,0.02,0.63,0.24,0.58,0.84,0.07,0.07
348,0.57,0.34,0.03,0.51,0.3,0.57,0.29,0.22,0.48,0.11,0.64
349, , , , , , , , , , , 
350, , , , , , , , , , , 
351, , , , , , , , , , , 
352, , , , , , , , , , , 
353, , , , , , , , , , , 
354, , , , , , , , , , , 
355,0.72,0.41,0.12,0.72,0.16,0.36,0.23,0.38,0.67,0.07,0.87
356, , , , , , , , , , , 
357, , , , , , , , , , , 
358, , , , , , , , , , , 
359, , , , , , , , , , , 
360,0.45,0.6,0.0,0.43,0.04,0.44,0.11,0.49,0.8,0.1,0.08
361,0.61,0.6,0.0,0.76,0.01,0.73,0.31,0.67,0.75,0.34,0.59
362,0.27,0.13,0.0,1.0,0.01,0.78,0.37,0.33,0.8,0.1,0.1
363,0.42,0.28,0.0,0.75,0.02,0.67,0.41,0.34,0.82,0.13,0.11
364, , , , , , , , , , , 
365, , , , , , , , , , , 
366, , , , , , , , , , , 
367,0.55,0.37,0.0,0.36,0.04,0.77,0.18,0.61,0.73,0.14,0.03
368, , , , , , , , , , , 
369, , , , , , , , , , , 
370, , , , , , , , , , , 
371, , , , , , , , , , , 
372, , , , , , , , , , , 
373,0.25,0.68,0.0,0.54,0.02,0.79,0.31,0.29,0.82,0.46,0.36
374, , , , , , , , , , , 
375, , , , , , , , , , , 
376, , , , , , , , , , , 
377, , , , , , , , , , , 
378, , , , , , , , , , , 
379, , , , , , , , , , , 
380, , , , , , , , , , , 
381, , , , , , , , , , , 
382,0.45,0.51,0.0,0.31,0.02,0.7,0.29,0.57,0.89,0.11,0.02
383, , , , , , , , , , , 
384,0.33,0.4,0.0,0.61,0.03,0.6,0.2,0.26,0.57,0.29,0.19
385, , , , , , , , , , , 
386, , , , , , , , , , , 
387,0.43,0.14,0.0,0.33,0.1,0.81,0.14,0.2,0.52,0.25,0.09
388, , , , , , , , , , , 
389,0.29,0.18,0.0,0.5,0.01,0.8,0.32,0.28,0.91,0.16,0.08
390, , , , , , , , , , , 
391,0.38,0.38,0.01,0.41,0.06,0.66,0.4,0.28,0.65,0.12,0.34
392, , , , , , , , , , , 
393,0.66,0.39,0.0,0.31,0.01,0.82,0.05,0.46,0.83,0.2,0.17
394,0.66,0.11,0.01,0.17,0.05,0.78,0.13,0.21,0.58,0.23,0.79
395, , , , , , , , , , , 
396, , , , , , , , , , , 
397, , , , , , , , , , , 
398, , , , , , , , , , , 
399,0.36,0.42,0.17,0.57,0.16,0.64,0.28,0.3,0.23,0.25,1.0
400, , , , , , , , , , , 
401, , , , , , , , , , , 
402, , , , , , , , , , , 
403, , , , , , , , , , , 
404, , , , , , , , , , , 
405,0.38,0.42,0.0,0.55,0.03,0.62,0.6,0.24,0.61,0.05,0.27
406, , , , , , , , , , , 
407, , , , , , , , , , , 
408, , , , , , , , , , , 
409, , , , , , , , , , , 
410, , , , , , , , , , , 
411, , , , , , , , , , , 
412, , , , , , , , , , , 
413, , , , , , , , , , , 
414, , , , , , , , , , , 
415, , , , , , , , , , , 
416, , , , , , , , , , , 
417, , , , , , , , , , , 
418, , , , , , , , , , , 
419, , , , , , , , , , , 
420, , , , , , , , , , , 
421, , , , , , , , , , , 
422,0.43,0.55,0.0,0.6,0.13,0.56,0.17,0.39,0.42,0.27,0.21
423, , , , , , , , , , , 
424, , , , , , , , , , , 
425,0.59,0.54,0.07,0.39,0.02,0.65,0.42,0.21,0.82,0.22,0.24
426,0.28,0.66,0.01,0.58,0.04,0.75,0.16,0.24,0.8,0.73,0.5
427, , , , , , , , , , , 
428, , , , , , , , , , , 
429, , , , , , , , , , , 
430,0.75,0.38,0.0,0.4,0.02,0.93,0.0,0.28,0.73,0.74,0.17
431,0.3,0.11,0.0,0.37,0.01,0.81,0.09,0.26,0.88,0.13,0.11
432,0.6,0.46,0.0,0.79,0.02,0.33,0.07,0.29,0.8,0.82,0.19
433, , , , , , , , , , , 
434, , , , , , , , , , , 
435, , , , , , , , , , , 
436,0.29,0.25,0.0,0.54,0.02,0.62,0.21,0.39,0.74,0.1,0.07
437, , , , , , , , , , , 
438, , , , , , , , , , , 
439,0.42,0.47,0.0,0.36,0.04,0.92,0.81,0.15,0.5,0.26,0.42
440, , , , , , , , , , , 
441, , , , , , , , , , , 
442, , , , , , , , , , , 
443,0.36,0.38,0.0,0.51,0.02,0.87,1.0,0.24,0.68,0.15,0.26
444,0.12,0.96,0.03,0.18,0.02,0.85,0.09,0.07,0.93,1.0,1.0
445, , , , , , , , , , , 
446,0.32,0.41,0.01,0.52,0.07,0.6,0.33,0.28,0.83,0.26,0.14
447,0.33,0.84,0.0,0.55,0.02,0.56,0.46,0.38,0.79,0.21,0.29
448, , , , , , , , , , , 
449,0.5,0.66,0.0,0.78,0.01,0.66,0.23,0.33,0.81,0.03,0.06
450,0.38,0.65,1.0,0.36,0.58,0.83,0.1,0.2,0.56,0.97,1.0
451,0.5,0.22,0.08,0.41,0.07,0.71,0.37,0.25,0.77,0.31,0.5
452, , , , , , , , , , , 
453, , , , , , , , , , , 
454, , , , , , , , , , , 
455, , , , , , , , , , , 
456,0.28,0.32,0.0,0.46,0.02,0.33,0.16,0.22,0.74,0.12,0.08
457, , , , , , , , , , , 
458, , , , , , , , , , , 
459, , , , , , , , , , , 
460,0.42,0.51,0.0,0.48,0.01,0.67,0.24,0.56,0.82,0.12,0.02
461,0.41,0.22,0.33,0.65,1.0,0.73,0.21,0.36,0.65,0.17,0.69
462,1.0,0.25,0.04,0.49,0.05,0.0,0.22,0.18,0.83,0.34,0.34
463,0.39,0.29,0.03,0.37,0.26,0.74,0.29,0.27,0.45,0.21,0.33
464, , , , , , , , , , , 
465,0.19,0.44,0.0,0.54,0.2,0.25,0.23,0.36,0.0,0.13,0.6
466, , , , , , , , , , , 
467, , , , , , , , , , , 
468, , , , , , , , , , , 
469,0.66,0.53,0.0,0.42,0.0,0.85,0.29,0.71,0.94,0.09,0.03
470, , , , , , , , , , , 
471, , , , , , , , , , , 
472,0.56,0.2,0.02,0.58,0.03,0.66,0.26,0.21,0.61,0.26,0.16
473, , , , , , , , , , , 
474, , , , , , , , , , , 
475,0.71,0.34,0.0,0.51,0.01,0.79,0.41,0.82,0.91,0.14,0.02
476, , , , , , , , , , , 
477, , , , , , , , , , , 
478,0.37,0.29,0.0,0.61,0.01,0.9,0.1,0.28,0.93,0.37,0.05
479, , , , , , , , , , , 
480, , , , , , , , , , , 
481, , , , , , , , , , , 
482, , , , , , , , , , , 
483, , , , , , , , , , , 
484, , , , , , , , , , , 
485, , , , , , , , , , , 
486, , , , , , , , , , , 
487, , , , , , , , , , , 
488,0.29,0.89,0.0,0.39,0.16,0.03,0.09,0.3,0.69,0.2,0.5
489, , , , , , , , , , , 
490, , , , , , , , , , , 
491, , , , , , , , , , , 
492, , , , , , , , , , , 
493, , , , , , , , , , , 
494, , , , , , , , , , , 
495, , , , , , , , , , , 
496, , , , , , , , , , , 
497,0.24,0.14,0.0,0.48,0.01,0.84,0.15,0.2,0.89,0.23,0.09
498, , , , , , , , , , , 
499, , , , , , , , , , , 
500,0.54,0.63,0.03,0.68,0.07,0.83,0.17,0.43,0.5,0.29,0.27
501,0.61,0.23,0.0,0.25,0.08,0.62,0.55,0.19,0.33,0.17,0.34
502, , , , , , , , , , , 
503,1.0,0.31,0.01,0.55,0.01,0.34,0.49,0.17,0.69,0.12,0.02
504, , , , , , , , , , , 
505, , , , , , , , , , , 
506, , , , , , , , , , , 
507, , , , , , , , , , , 
508, , , , , , , , , , , 
509, , , , , , , , , , , 
510, , , , , , , , , , , 
511,0.42,0.18,0.0,0.81,0.01,0.63,0.82,0.25,0.83,0.09,0.0
512,0.35,0.38,0.0,0.51,0.0,0.67,0.7,0.24,0.9,0.09,0.16
513,0.61,0.58,0.0,0.44,0.04,0.88,0.32,0.15,0.49,0.13,0.44
514, , , , , , , , , , , 
515, , , , , , , , , , , 
516,0.9,0.31,0.0,0.58,0.04,0.31,0.61,0.22,0.61,0.1,0.53
517, , , , , , , , , , , 
518, , , , , , , , , , , 
519, , , , , , , , , , , 
520, , , , , , , , , , , 
521, , , , , , , , , , , 
522, , , , , , , , , , , 
523, , , , , , , , , , , 
524, , , , , , , , , , , 
525,0.55,0.56,0.15,0.22,0.18,0.77,0.12,0.47,0.84,0.87,0.3
526, , , , , , , , , , , 
527, , , , , , , , , , , 
528,0.11,0.54,0.02,0.33,0.03,0.72,0.05,0.12,0.56,0.07,0.62
529, , , , , , , , , , , 
530, , , , , , , , , , , 
531, , , , , , , , , , , 
532, , , , , , , , , , , 
533, , , , , , , , , , , 
534, , , , , , , , , , , 
535, , , , , , , , , , , 
536, , , , , , , , , , , 
537, , , , , , , , , , , 
538,0.33,0.41,0.39,0.55,1.0,0.6,0.16,0.35,0.6,0.07,0.69
539,0.27,0.66,0.0,0.33,0.02,0.71,0.32,0.25,0.75,0.03,0.05
540,0.48,0.35,0.06,0.67,0.35,0.67,0.22,0.39,0.65,0.12,0.35
541, , , , , , , , , , , 
542, , , , , , , , , , , 
543,0.23,0.3,0.0,0.62,0.01,0.85,0.65,0.26,0.91,0.03,0.1
544, , , , , , , , , , , 
545,0.29,0.5,0.03,0.57,0.65,0.43,0.27,0.4,0.55,0.23,0.32
546,0.34,0.2,0.0,0.84,0.05,0.63,0.42,0.31,0.58,0.14,0.17
547,0.56,0.18,0.0,0.64,0.01,0.77,0.24,0.37,0.9,0.24,0.03
548, , , , , , , , , , , 
549,1.0,0.27,0.0,0.72,0.02,0.23,0.22,0.94,0.72,0.47,0.15
550, , , , , , , , , , , 
551,0.44,0.38,0.05,0.37,0.03,0.51,0.26,0.2,0.68,0.09,0.21
552, , , , , , , , , , , 
553, , , , , , , , , , , 
554, , , , , , , , , , , 
555,0.42,0.33,0.0,0.5,0.01,0.66,0.21,0.48,0.87,0.29,0.03
556, , , , , , , , , , , 
557, , , , , , , , , , , 
558, , , , , , , , , , , 
559,0.35,0.44,0.0,0.69,0.01,0.79,0.19,0.26,0.86,0.08,0.03
560,0.36,0.41,0.0,0.41,0.03,0.32,0.11,0.29,0.84,0.34,0.15
561, , , , , , , , , , , 
562,0.6,0.18,0.02,0.54,0.03,0.47,0.27,0.28,0.78,0.1,0.07
563,0.47,0.41,0.0,0.43,0.01,0.53,0.17,0.65,0.93,0.11,0.07
