pers_per_fam,population,pct_speak_engl_only,pct_use_pub_trans,pct_wo_full_plumb,pct_occup_manu,rent_high_q,pct_occup_mgmt_prof,pct_hous_own_occ,age_pct16t24,violent_crimes_per_pop,squirrel_id
0.56,0.0,0.92,0.03,0.0,0.5,0.49,0.37,0.83,0.24,0.02,_24_
0.4,0.01,0.81,0.32,0.0,0.09,0.49,0.78,0.74,0.58,0.1,_25_
0.52,0.0,0.86,0.01,0.0,0.43,0.5,0.28,0.76,0.25,0.12,_26_
0.66,0.07,0.74,0.02,0.06,0.16,1.0,0.71,0.84,0.26,0.06,_27_
0.54,0.03,0.57,0.08,0.82,0.58,0.33,0.22,0.46,0.26,0.38,_28_
0.2,0.02,0.91,0.02,0.14,0.36,0.41,0.27,0.7,0.14,0.08,_29_
0.74,0.02,0.74,0.02,0.14,0.42,0.81,0.35,0.81,0.37,0.25,_30_
0.4,0.01,0.9,0.1,0.14,0.32,0.25,0.49,0.46,0.19,0.05,_31_
0.4,0.01,0.98,0.01,0.2,0.74,0.11,0.18,0.56,0.27,0.03,_32_
0.52,0.03,0.39,0.0,0.4,0.46,0.27,0.39,0.56,0.28,0.71,_33_
0.58,0.02,0.81,0.5,0.18,0.15,0.88,0.64,0.83,0.33,0.04,_34_
0.33,0.01,0.95,0.14,0.33,0.42,0.24,0.34,0.52,0.22,0.1,_35_
0.42,0.0,0.98,0.04,0.11,0.34,0.21,0.37,0.56,0.5,0.01,_36_
0.49,0.0,0.93,0.2,0.35,0.39,0.32,0.41,0.67,0.27,0.12,_37_
0.35,0.05,0.16,0.17,0.02,0.03,0.52,0.86,0.56,0.52,0.4,_38_
0.62,0.01,0.97,0.0,0.3,0.38,0.11,0.38,0.43,0.76,0.33,_39_
0.65,0.01,0.93,0.04,0.27,0.22,0.83,0.78,0.88,0.26,0.04,_40_
0.35,0.0,0.9,0.04,0.45,0.33,0.45,0.46,0.4,0.28,0.06,_41_
0.53,0.58,0.59,0.23,0.37,0.29,0.44,0.48,0.4,0.31,0.53,_42_
0.6,0.01,0.95,0.03,0.11,0.47,0.57,0.37,0.85,0.25,0.01,_43_
0.53,0.05,0.47,0.35,0.23,0.3,0.85,0.4,0.55,0.29,0.12,_44_
0.46,0.01,0.93,0.13,0.14,0.33,0.27,0.42,0.46,0.55,0.0,_45_
0.06,0.04,0.79,0.11,0.24,0.35,0.6,0.28,0.96,0.03,0.04,_46_
0.42,0.03,0.96,0.01,0.22,0.62,0.19,0.3,0.57,0.31,0.07,_47_
0.44,0.01,0.9,0.13,0.2,0.03,0.51,1.0,0.83,0.1,0.01,_48_
0.88,0.02,0.92,0.02,0.0,0.42,0.32,0.32,0.33,0.25,0.1,_49_
0.51,0.03,0.81,0.65,0.07,0.11,0.93,0.86,0.8,0.2,0.04,_50_
0.39,0.06,0.88,0.17,0.16,0.31,0.35,0.44,0.51,0.27,0.22,_51_
0.4,0.03,0.88,0.06,0.57,0.38,0.3,0.36,0.39,0.29,0.45,_52_
0.62,0.0,0.85,0.01,0.13,0.43,0.24,0.35,0.56,0.32,0.35,_53_
0.39,0.04,0.9,0.18,0.02,0.55,0.35,0.28,0.36,0.3,0.18,_54_
0.45,0.01,0.79,0.03,0.26,0.59,0.14,0.27,0.57,0.41,0.29,_55_
0.33,0.01,0.98,0.01,0.44,1.0,0.14,0.24,0.56,0.28,0.4,_56_
0.39,0.05,0.48,0.24,0.25,0.19,0.92,0.68,0.45,0.24,0.38,_57_
0.47,0.01,0.89,0.07,0.31,0.59,0.42,0.14,0.49,0.29,0.1,_58_
0.28,0.04,0.97,0.0,0.12,0.45,0.16,0.41,0.55,0.24,0.24,_59_
0.49,0.01,0.96,0.06,0.05,0.37,0.28,0.45,0.73,0.26,0.14,_60_
0.54,0.01,0.94,0.0,0.07,0.45,0.34,0.32,0.68,0.3,0.07,_61_
0.49,0.0,0.92,0.23,0.08,0.4,0.34,0.42,0.52,0.23,0.21,_62_
0.56,0.06,0.93,0.17,0.22,0.42,0.14,0.43,0.57,0.39,0.14,_63_
0.44,0.08,0.84,0.01,0.1,0.34,0.37,0.38,0.6,0.24,0.25,_64_
0.46,0.01,0.95,0.05,0.6,0.7,0.17,0.27,0.56,0.27,0.05,_65_
0.29,0.1,0.9,0.07,0.16,0.42,0.26,0.4,0.5,0.31,0.63,_66_
0.58,0.06,0.26,0.21,0.34,0.42,0.63,0.32,0.33,0.32,0.84,_67_
0.47,0.01,0.94,0.04,0.3,0.8,0.11,0.2,0.65,0.28,0.04,_68_
0.51,0.01,0.84,0.01,0.18,0.39,0.13,0.36,0.55,0.32,0.02,_69_
0.68,0.0,0.45,0.0,0.7,0.64,0.17,0.31,0.7,0.3,0.07,_70_
0.78,0.01,0.12,0.0,0.23,0.71,0.25,0.18,0.46,0.36,0.55,_71_
0.54,0.45,0.83,0.05,0.06,0.3,0.38,0.42,0.53,0.33,0.3,_72_
0.24,0.0,0.91,0.03,0.08,0.3,0.57,0.38,0.76,0.13,0.15,_73_
0.47,0.02,0.9,0.16,0.05,0.18,0.42,0.58,0.69,0.36,0.03,_74_
0.37,0.06,0.96,0.01,0.41,0.37,0.18,0.33,0.59,0.27,0.37,_75_
0.4,0.0,0.92,0.05,0.16,0.54,0.2,0.25,0.47,0.28,0.22,_76_
0.38,0.04,0.91,0.28,0.13,0.17,0.6,0.61,0.35,0.32,0.59,_77_
0.53,0.02,0.74,0.01,0.67,0.48,0.29,0.34,0.45,0.44,0.5,_78_
0.46,0.14,0.93,0.12,0.18,0.52,0.24,0.31,0.47,0.34,0.18,_79_
0.45,0.0,0.89,1.0,0.54,0.36,0.39,0.47,0.57,0.2,0.15,_80_
0.4,0.03,0.94,0.09,0.02,0.15,0.44,0.73,0.75,0.15,0.1,_81_
0.4,0.08,0.95,0.13,0.42,0.44,0.25,0.48,0.34,0.44,0.72,_82_
0.33,0.16,0.88,0.2,0.16,0.31,0.36,0.54,0.39,0.53,0.16,_83_
0.28,0.02,0.95,0.0,0.16,0.38,0.26,0.37,0.54,0.28,0.12,_84_
0.43,0.03,0.65,0.45,0.07,0.32,0.76,0.56,0.57,0.36,0.12,_85_
0.38,0.07,0.86,0.16,0.22,0.27,0.62,0.48,0.51,0.28,0.19,_86_
0.56,0.0,0.4,0.06,0.0,0.03,1.0,1.0,0.97,0.27,0.08,_87_
0.36,0.01,0.97,0.0,0.22,0.91,0.17,0.18,0.51,0.31,0.24,_88_
0.52,0.02,0.77,0.2,0.04,0.21,0.54,0.67,0.58,0.26,0.09,_89_
0.35,0.02,0.97,0.0,0.21,0.88,0.1,0.19,0.48,0.35,0.16,_90_
1.0,0.08,0.0,0.2,0.1,0.78,0.63,0.15,0.65,0.43,0.56,_91_
0.31,0.01,0.93,0.03,0.22,0.43,0.28,0.51,0.38,0.64,0.15,_92_
0.36,0.0,0.86,0.01,0.56,0.54,0.23,0.42,0.51,0.41,0.04,_93_
0.36,0.05,0.92,0.01,0.26,0.36,0.25,0.4,0.48,0.26,0.67,_94_
0.4,0.02,0.86,0.05,0.21,0.45,0.2,0.4,0.66,0.24,0.1,_95_
0.62,0.0,0.4,0.04,0.37,0.42,0.05,0.35,0.57,0.27,0.61,_96_
0.72,0.07,0.41,0.05,0.13,0.16,1.0,0.67,0.86,0.31,0.19,_97_
0.37,0.03,0.89,0.24,0.07,0.24,0.41,0.53,0.48,0.24,0.09,_98_
0.35,0.18,0.89,0.16,0.16,0.15,0.33,0.63,0.32,0.9,0.82,_99_
0.49,0.19,0.59,0.23,0.21,0.37,0.63,0.34,0.49,0.33,0.42,_100_
0.54,0.07,0.83,0.39,0.07,0.23,0.39,0.79,0.55,0.3,0.02,_101_
0.38,0.58,0.85,0.92,0.37,0.33,0.38,0.51,0.38,0.39,0.75,_102_
0.52,0.01,0.97,0.17,0.19,0.45,0.28,0.31,0.62,0.33,0.24,_103_
0.39,0.02,0.83,0.01,0.31,0.45,0.26,0.38,0.45,0.26,0.2,_104_
0.69,0.1,0.82,1.0,0.58,0.47,0.48,0.3,0.08,0.33,1.0,_105_
0.58,0.01,0.38,0.04,0.3,0.67,0.25,0.24,0.62,0.26,0.22,_106_
0.57,0.07,0.74,0.77,0.15,0.36,0.57,0.45,0.62,0.28,0.06,_107_
0.37,0.05,0.83,0.07,0.13,0.23,0.4,0.41,0.15,1.0,0.19,_108_
0.85,0.0,0.0,0.33,0.3,0.46,0.13,0.22,0.71,0.3,0.1,_109_
0.42,0.01,0.93,0.56,0.13,0.59,0.34,0.32,0.36,0.29,0.38,_110_
0.54,0.0,0.78,0.27,0.11,0.12,0.9,0.77,0.91,0.22,0.04,_111_
0.54,0.0,0.9,0.01,0.25,0.46,0.47,0.36,0.66,0.26,0.27,_112_
0.49,0.02,0.78,0.53,0.05,0.18,0.71,0.75,0.56,0.28,0.04,_113_
0.64,0.03,0.95,0.0,0.24,0.23,0.53,0.5,0.93,0.26,0.08,_114_
0.49,0.02,0.87,0.03,0.23,0.19,0.61,0.65,0.65,0.24,0.17,_115_
0.46,0.15,0.85,0.2,0.18,0.53,0.27,0.38,0.59,0.28,0.45,_116_
0.4,0.01,0.98,0.02,0.04,0.24,0.35,0.49,0.59,0.26,0.12,_117_
0.51,0.02,0.94,0.01,0.42,0.38,0.28,0.46,0.51,0.33,0.29,_118_
0.47,0.04,0.93,0.0,0.03,0.47,0.31,0.37,0.56,0.21,0.15,_119_
0.37,0.04,0.78,0.34,0.22,0.21,0.68,0.6,0.6,0.24,0.14,_120_
0.51,0.01,0.96,0.12,0.06,0.52,0.27,0.37,0.46,0.32,0.19,_121_
0.65,0.67,0.43,0.35,0.42,0.38,0.63,0.45,0.26,0.4,0.67,_122_
0.44,0.02,0.81,0.34,0.05,0.1,0.98,0.9,0.77,0.26,0.04,_123_
0.44,0.07,0.95,0.1,0.4,0.56,0.12,0.25,0.59,0.28,0.13,_124_
0.29,0.15,0.65,0.91,0.26,0.11,0.41,0.86,0.29,0.72,0.67,_125_
0.49,0.01,0.93,0.14,0.1,0.56,0.32,0.27,0.46,0.33,0.19,_126_
0.45,0.03,0.7,0.02,0.31,0.31,0.4,0.26,0.32,0.41,0.5,_127_
0.56,0.08,0.84,0.24,0.18,0.38,0.55,0.45,0.51,0.3,0.15,_128_
0.47,0.05,0.82,0.06,0.18,0.45,0.43,0.39,0.59,0.45,0.37,_129_
0.35,0.01,0.81,0.66,0.0,0.05,1.0,1.0,0.93,0.11,0.02,_130_
0.54,0.02,0.84,0.12,0.05,0.37,0.36,0.47,0.6,0.27,0.01,_131_
0.26,0.01,0.98,0.01,0.23,0.63,0.17,0.47,0.51,0.26,0.21,_132_
0.5,0.0,0.69,0.72,0.1,0.31,0.69,0.49,0.44,0.28,0.03,_133_
0.06,0.04,0.82,0.07,0.05,0.4,0.93,0.3,0.99,0.01,0.04,_134_
0.35,0.0,0.95,0.04,0.0,0.35,0.37,0.42,0.3,0.57,0.2,_135_
0.36,0.04,0.98,0.0,0.23,0.51,0.14,0.42,0.52,0.42,0.25,_136_
0.66,0.07,0.59,0.05,0.07,0.18,1.0,0.62,0.72,0.41,0.11,_137_
0.32,0.04,0.89,0.18,0.47,0.22,0.34,0.64,0.41,0.3,0.13,_138_
0.39,0.11,0.9,0.07,0.11,0.24,0.23,0.59,0.39,0.69,0.09,_139_
0.5,0.02,0.96,0.02,0.37,0.65,0.16,0.35,0.53,0.34,1.0,_140_
0.58,0.0,0.96,0.05,0.14,0.7,0.2,0.22,0.66,0.24,0.03,_141_
0.44,0.0,0.92,0.0,0.2,0.45,0.14,0.36,0.53,0.3,0.08,_142_
0.45,0.03,0.65,0.01,0.18,0.31,0.24,0.39,0.56,0.31,0.2,_143_
0.48,0.0,0.8,0.01,0.06,0.3,0.26,0.53,0.43,0.49,0.34,_144_
0.54,1.0,0.68,0.18,0.24,0.34,0.35,0.4,0.5,0.33,0.45,_145_
0.43,0.01,0.84,0.02,0.13,0.52,0.26,0.43,0.34,0.42,0.51,_146_
0.5,0.01,0.93,0.01,0.14,0.41,0.36,0.37,0.48,0.29,0.15,_147_
0.48,0.02,0.8,0.21,0.08,0.16,0.6,0.63,0.85,0.22,0.05,_148_
1.0,0.0,0.0,0.0,1.0,0.52,0.05,0.22,0.59,0.42,0.52,_149_
0.59,0.01,0.63,0.0,0.16,0.4,0.21,0.39,0.41,0.29,0.24,_150_
0.48,0.03,0.87,0.04,0.21,0.5,0.16,0.31,0.55,0.28,0.18,_151_
0.49,0.01,0.72,0.25,0.16,0.3,0.77,0.41,0.71,0.22,0.04,_152_
0.56,0.22,0.76,0.09,0.16,0.34,0.33,0.39,0.54,0.37,0.34,_153_
0.45,0.0,0.79,0.02,0.9,0.51,0.13,0.28,0.61,0.3,1.0,_154_
0.35,0.0,0.94,0.05,0.29,0.34,0.18,0.52,0.72,0.53,0.22,_155_
0.37,0.0,0.84,0.05,0.62,0.61,0.2,0.32,0.39,0.25,0.12,_156_
0.52,0.02,0.86,0.02,0.3,0.57,0.25,0.32,0.62,0.28,0.14,_157_
0.59,0.01,0.8,0.72,0.09,0.31,0.74,0.59,0.79,0.28,0.12,_158_
0.51,0.08,0.87,0.08,0.26,0.42,0.47,0.44,0.45,0.36,0.06,_159_
0.51,0.0,0.65,0.12,0.13,0.29,0.68,0.4,0.8,0.28,0.08,_160_
0.51,0.0,0.96,0.01,0.28,0.59,0.33,0.43,0.63,0.26,0.06,_161_
0.47,0.03,0.69,0.06,0.1,0.47,0.36,0.46,0.72,0.25,0.26,_162_
0.61,0.05,0.9,0.2,0.1,0.3,0.61,0.51,0.71,0.25,0.04,_163_
0.6,0.01,0.81,0.04,0.08,0.87,0.18,0.06,0.73,0.33,0.29,_164_
0.41,0.06,0.88,0.02,0.12,0.32,0.25,0.48,0.57,0.28,0.08,_165_
0.19,0.0,0.96,0.09,0.06,0.34,0.32,0.41,0.35,0.31,0.08,_166_
0.38,0.02,0.98,0.0,0.3,0.4,0.11,0.38,0.47,0.26,0.27,_167_
0.4,0.05,0.87,0.44,0.26,0.33,0.26,0.29,0.23,0.59,0.26,_168_
0.56,0.0,0.97,0.0,0.61,0.73,0.07,0.29,0.52,0.29,0.96,_169_
0.43,0.03,0.77,0.09,0.13,0.18,0.61,0.66,0.7,0.22,0.08,_170_
0.38,0.03,0.95,0.02,0.16,0.66,0.24,0.25,0.41,0.32,0.1,_171_
0.43,0.0,0.97,0.07,0.18,0.53,0.25,0.35,0.52,0.31,0.05,_172_
0.58,0.01,0.86,0.06,0.23,0.22,0.94,0.7,0.86,0.27,0.02,_173_
0.42,0.0,0.92,0.02,0.57,0.3,0.58,0.5,0.74,0.23,0.05,_174_
0.47,0.05,0.94,0.2,0.36,0.61,0.2,0.23,0.39,0.34,0.55,_175_
0.72,0.03,0.57,0.22,0.49,0.68,0.44,0.25,0.18,0.42,0.64,_176_
0.5,0.0,0.92,0.05,0.67,0.2,0.62,0.48,0.85,0.26,0.04,_177_
0.36,0.0,0.95,0.0,0.32,0.35,0.1,0.43,0.54,0.59,0.16,_178_
0.47,0.01,0.96,0.01,0.24,0.78,0.18,0.29,0.52,0.31,0.01,_179_
0.55,0.08,0.51,0.14,0.41,0.51,0.63,0.28,0.24,0.34,0.7,_180_
0.84,0.01,0.19,0.02,0.2,0.51,0.55,0.24,0.45,0.36,0.38,_181_
0.53,0.0,0.94,0.02,0.13,0.22,0.58,0.58,0.82,0.28,0.15,_182_
0.34,0.0,0.98,0.04,0.22,0.41,0.17,0.52,0.73,0.21,0.01,_183_
0.6,0.01,0.94,0.08,0.0,0.48,0.47,0.34,0.67,0.31,0.12,_184_
0.6,0.02,0.93,0.18,0.21,0.26,0.8,0.57,0.76,0.49,0.06,_185_
0.56,0.01,0.9,0.32,0.47,0.43,0.22,0.3,0.61,0.26,0.27,_186_
0.49,0.04,0.91,0.9,0.57,0.51,0.32,0.31,0.38,0.34,0.65,_187_
0.45,0.03,0.78,0.27,0.03,0.04,1.0,1.0,0.81,0.19,0.01,_188_
0.29,0.0,0.96,0.02,0.09,0.74,0.18,0.27,0.53,0.29,0.45,_189_
0.4,0.16,0.86,0.14,0.24,0.32,0.26,0.47,0.44,0.32,0.14,_190_
0.35,0.02,0.9,0.45,0.16,0.38,0.18,0.32,0.79,0.22,0.19,_191_
0.47,0.02,0.96,0.03,0.06,0.68,0.23,0.34,0.61,0.23,0.07,_192_
0.67,0.14,0.74,0.03,0.11,0.26,0.97,0.48,0.73,0.34,0.1,_193_
0.4,0.0,0.99,0.01,0.28,0.21,0.33,0.6,0.66,0.22,0.05,_194_
0.47,0.08,0.66,0.18,0.45,0.31,0.26,0.44,0.27,0.32,0.72,_195_
0.58,0.06,0.92,0.17,0.37,0.29,0.19,0.46,0.47,0.31,1.0,_196_
0.9,0.01,0.9,0.03,0.05,0.41,0.38,0.35,0.25,1.0,0.02,_197_
0.49,0.01,0.96,0.0,0.26,0.55,0.15,0.4,0.52,0.25,0.24,_198_
0.44,0.04,0.68,1.0,0.17,0.27,0.83,0.54,0.39,0.2,0.16,_199_
0.38,0.03,0.97,0.0,0.12,0.72,0.23,0.27,0.53,0.34,0.3,_200_
0.22,0.01,0.92,0.19,0.05,0.28,0.49,0.43,0.18,0.38,0.12,_201_
0.51,0.01,0.99,0.01,0.34,0.6,0.29,0.23,0.46,0.32,0.12,_202_
0.44,0.05,0.7,0.04,0.39,0.48,0.46,0.45,0.48,0.3,0.17,_203_
0.57,0.0,0.91,0.03,0.34,0.47,0.46,0.33,0.68,0.28,0.18,_204_
0.6,0.21,0.37,0.36,0.41,0.6,0.5,0.25,0.3,0.36,0.79,_205_
0.41,0.05,0.94,0.1,0.28,0.49,0.25,0.36,0.51,0.33,0.08,_206_
0.56,0.7,0.67,0.09,0.33,0.48,0.28,0.39,0.44,0.36,0.63,_207_
1.0,0.04,0.0,0.29,0.59,0.81,0.61,0.13,0.53,0.49,0.69,_208_
0.37,0.09,0.92,0.23,0.27,0.48,0.35,0.29,0.51,0.23,0.1,_209_
0.57,0.0,0.8,0.26,0.24,0.18,1.0,0.66,0.94,0.28,0.01,_210_
0.58,0.02,0.92,0.04,0.15,0.5,0.34,0.4,0.82,0.28,0.02,_211_
0.37,0.16,0.95,0.07,0.18,0.51,0.25,0.29,0.61,0.27,0.24,_212_
0.37,0.01,0.88,0.0,0.4,0.44,0.19,0.41,0.42,0.85,0.03,_213_
0.28,0.16,0.68,1.0,0.2,0.13,0.79,0.84,0.25,0.3,0.27,_214_
0.44,0.03,0.85,0.74,0.16,0.06,0.76,0.9,0.55,0.79,0.02,_215_
0.85,0.02,0.57,0.11,0.31,0.38,0.64,0.27,0.59,0.27,0.16,_216_
0.36,0.0,0.96,0.01,0.34,0.96,0.13,0.14,0.57,0.26,0.03,_217_
0.41,0.06,0.98,0.09,0.13,0.52,0.16,0.36,0.46,0.4,0.7,_218_
0.65,0.0,0.25,0.0,1.0,0.51,0.11,0.22,0.74,0.24,0.29,_219_
0.47,0.01,0.8,0.02,0.32,0.38,0.52,0.39,0.81,0.28,0.02,_220_
0.28,0.01,0.98,0.17,0.3,0.66,0.16,0.22,0.64,0.21,0.26,_221_
0.6,0.03,0.32,0.14,0.07,0.47,0.28,0.15,0.23,0.38,1.0,_222_
0.51,0.01,0.96,0.01,0.22,0.44,0.14,0.21,0.37,0.31,0.86,_223_
0.31,0.07,0.9,0.18,0.19,0.34,0.34,0.42,0.39,0.68,0.14,_224_
0.48,0.01,0.81,0.04,0.37,0.64,0.16,0.28,0.59,0.3,0.28,_225_
0.47,0.01,0.89,0.08,0.06,0.24,0.65,0.58,0.74,0.23,0.03,_226_
0.43,0.0,0.88,0.13,0.2,0.41,0.49,0.37,0.79,0.22,0.08,_227_
0.51,0.02,0.92,0.41,0.2,0.23,0.66,0.55,0.66,0.25,0.03,_228_
0.57,0.01,0.63,0.03,0.48,0.61,0.33,0.24,0.6,0.28,0.11,_229_
0.42,0.0,0.96,0.02,0.22,0.99,0.14,0.18,0.59,0.3,0.08,_230_
0.5,0.0,0.96,0.0,0.36,0.56,0.24,0.31,0.61,0.3,0.01,_231_
0.44,0.03,0.89,0.01,0.34,0.42,0.22,0.43,0.27,1.0,0.28,_232_
0.44,0.02,0.92,0.02,0.47,0.51,0.22,0.25,0.62,0.31,0.12,_233_
0.51,0.41,0.95,0.2,0.34,0.45,0.15,0.33,0.42,0.33,1.0,_234_
0.4,0.06,0.76,0.94,0.21,0.13,0.82,0.77,0.47,0.22,0.08,_235_
0.56,0.04,0.89,0.05,0.1,0.29,0.45,0.53,0.62,0.29,0.19,_236_
0.37,0.02,0.96,0.05,0.17,0.55,0.14,0.37,0.51,0.25,0.17,_237_
0.59,0.0,0.76,0.17,0.09,0.73,0.35,0.23,0.51,0.28,0.35,_238_
0.44,0.07,0.91,0.03,0.14,0.31,0.3,0.4,0.48,0.35,0.18,_239_
0.61,0.02,0.89,0.07,0.06,0.23,0.58,0.56,0.89,0.16,0.14,_240_
0.44,0.0,0.95,0.1,1.0,1.0,0.22,0.12,0.55,0.3,0.21,_241_
0.47,0.73,0.62,0.28,0.28,0.22,0.32,0.56,0.25,0.56,0.25,_242_
0.42,0.04,0.87,0.13,0.04,0.28,0.55,0.51,0.71,0.48,0.09,_243_
0.0,0.0,0.89,0.0,0.09,0.26,0.4,0.5,0.78,0.03,0.17,_244_
0.54,0.03,0.85,0.02,0.34,0.54,0.2,0.38,0.52,0.34,0.33,_245_
0.27,0.03,0.86,0.06,0.12,0.19,0.48,0.55,0.29,0.35,0.18,_246_
0.26,0.02,0.56,1.0,0.09,0.13,0.79,0.85,0.55,0.18,0.38,_247_
0.53,0.91,0.56,1.0,0.49,0.26,0.68,0.53,0.12,0.55,0.81,_248_
0.51,0.07,0.52,0.13,0.13,0.29,0.82,0.48,0.26,0.47,0.14,_249_
0.49,0.01,0.97,0.0,0.11,0.9,0.18,0.24,0.63,0.36,0.41,_250_
0.44,0.05,0.86,0.01,0.04,0.1,0.43,0.73,0.61,0.26,0.07,_251_
0.45,0.23,0.66,0.08,0.2,0.35,0.42,0.41,0.21,0.41,0.17,_252_
0.51,0.0,0.88,0.04,0.27,0.46,0.27,0.33,0.5,0.38,0.1,_253_
0.62,0.01,0.62,0.18,0.17,0.21,0.73,0.6,0.57,0.31,0.05,_254_
0.35,0.05,0.96,0.02,0.13,0.44,0.18,0.43,0.39,0.72,0.33,_255_
0.61,0.0,0.64,0.01,0.23,0.27,0.35,0.47,0.59,0.31,0.04,_256_
0.44,0.0,0.96,0.02,0.18,0.68,0.13,0.25,0.63,0.24,0.05,_257_
0.0,0.01,0.9,0.01,0.0,0.22,0.52,0.4,0.71,0.0,0.15,_258_
0.42,0.0,0.87,0.15,0.24,0.23,0.8,0.64,0.93,0.14,0.02,_259_
0.44,0.0,0.78,0.67,0.27,0.22,0.67,0.74,0.76,0.2,0.08,_260_
0.83,0.16,0.3,0.42,0.53,0.46,0.6,0.29,0.2,0.4,0.86,_261_
0.36,0.03,0.97,0.02,0.11,0.52,0.15,0.32,0.58,0.28,0.1,_262_
0.49,0.02,0.93,0.01,0.25,0.27,0.48,0.39,0.56,0.23,0.14,_263_
0.37,0.0,0.99,0.01,0.39,1.0,0.1,0.22,0.64,0.27,0.03,_264_
0.53,0.05,0.79,0.01,0.2,0.43,0.22,0.28,0.54,0.31,0.28,_265_
0.65,0.16,0.0,0.59,0.62,0.88,0.45,0.19,0.13,0.34,0.54,_266_
0.4,0.02,0.95,0.01,0.17,0.47,0.15,0.35,0.6,0.21,0.3,_267_
0.42,0.12,0.86,0.07,0.18,0.21,0.34,0.58,0.42,0.73,0.16,_268_
0.29,0.81,0.74,0.92,0.37,0.26,0.45,0.6,0.36,0.33,0.58,_269_
0.32,0.01,0.94,0.76,0.0,0.17,0.45,0.56,0.67,0.2,0.02,_270_
0.28,0.05,0.83,0.31,0.0,0.07,0.4,0.81,0.25,1.0,0.28,_271_
0.41,0.01,0.71,0.05,0.6,0.42,0.42,0.4,0.56,0.29,0.03,_272_
0.49,0.0,0.8,0.06,0.0,0.35,0.26,0.29,0.2,0.4,0.32,_273_
0.46,0.06,0.86,0.01,0.16,0.22,0.25,0.51,0.52,0.29,0.03,_274_
0.36,0.02,0.92,0.09,0.0,0.38,0.44,0.25,0.81,0.2,0.1,_275_
0.48,0.05,0.94,0.13,0.44,0.65,0.2,0.4,0.36,0.42,1.0,_276_
0.12,0.01,0.88,0.0,0.33,0.2,0.38,0.4,0.54,0.16,0.27,_277_
0.54,0.04,0.87,0.07,0.03,0.18,0.78,0.71,0.81,0.29,0.15,_278_
0.83,0.01,0.0,0.02,1.0,0.43,0.13,0.32,0.58,0.39,0.14,_279_
0.51,0.06,0.65,0.17,0.52,0.23,0.67,0.57,0.49,0.3,0.06,_280_
0.51,0.02,0.84,0.06,0.28,0.21,0.67,0.56,0.38,0.4,0.32,_281_
0.59,0.05,0.66,0.01,0.11,0.45,0.43,0.28,0.52,0.29,0.36,_282_
0.58,0.01,0.9,0.17,0.07,0.1,0.91,0.75,0.87,0.24,0.02,_283_
0.23,0.06,0.73,0.06,0.19,0.23,0.54,0.37,0.73,0.16,0.56,_284_
0.55,0.01,0.91,0.16,0.33,0.36,0.54,0.43,0.74,0.48,0.08,_285_
0.22,0.07,0.86,0.09,0.17,0.28,0.4,0.37,0.47,0.25,0.76,_286_
