id,pct_not_speak_engl_well,rent_low_q,num_immig,pers_per_occup_hous,pct_teen2_par,householdsize,pers_per_own_occ_hous,pct_employ,pct_same_house85,pct_pop_under_pov,violent_crimes_per_pop
70,0.44,0.13,0.01,0.66,0.74,0.61,0.63,0.39,0.51,0.42,0.07
71,0.93,0.21,0.02,0.8,0.34,0.74,0.68,0.26,0.52,0.64,0.55
72,0.1,0.35,0.09,0.49,0.66,0.45,0.54,0.55,0.28,0.24,0.3
73,0.04,0.4,0.0,0.27,0.67,0.24,0.25,0.19,0.67,0.13,0.15
74,0.03,0.35,0.0,0.45,0.63,0.47,0.51,0.59,0.66,0.15,0.03
75,0.02,0.12,0.0,0.34,0.55,0.35,0.31,0.41,0.47,0.37,0.37
76,0.06,0.17,0.0,0.34,0.47,0.34,0.36,0.33,0.42,0.43,0.22
77,0.05,0.41,0.01,0.31,0.2,0.29,0.31,0.66,0.46,0.31,0.59
78,0.22,0.28,0.01,0.48,0.52,0.52,0.47,0.47,0.35,0.46,0.5
79,0.09,0.23,0.02,0.37,0.59,0.36,0.48,0.56,0.53,0.35,0.18
80,0.05,0.47,0.0,0.38,0.53,0.36,0.51,0.57,0.74,0.13,0.15
81,0.04,0.42,0.0,0.35,0.49,0.32,0.4,0.54,0.73,0.06,0.1
82,0.03,0.08,0.01,0.26,0.21,0.32,0.29,0.49,0.46,0.47,0.72
83,0.05,0.28,0.04,0.29,0.5,0.32,0.4,0.46,0.29,0.45,0.16
84,0.03,0.29,0.0,0.29,0.54,0.27,0.31,0.53,0.55,0.19,0.12
85,0.21,0.7,0.03,0.43,0.78,0.47,0.52,0.69,0.48,0.06,0.12
86,0.07,0.53,0.02,0.37,0.52,0.35,0.41,0.65,0.57,0.09,0.19
87,0.33,1.0,0.02,0.67,0.71,0.62,0.62,0.38,0.76,0.09,0.08
88,0.06,0.06,0.0,0.35,0.52,0.34,0.33,0.42,0.53,0.52,0.24
89,0.12,0.63,0.02,0.51,0.71,0.47,0.65,0.65,0.7,0.07,0.09
90,0.01,0.06,0.0,0.33,0.39,0.33,0.34,0.31,0.56,0.53,0.16
91,0.92,0.53,0.12,1.0,0.71,0.98,1.0,0.41,0.71,0.3,0.56
92,0.03,0.23,0.0,0.23,0.57,0.38,0.32,0.47,0.41,0.25,0.15
93,0.01,0.25,0.0,0.37,0.61,0.39,0.44,0.51,0.48,0.33,0.04
94,0.04,0.14,0.01,0.31,0.25,0.32,0.3,0.29,0.45,0.52,0.67
95,0.03,0.2,0.01,0.39,0.59,0.35,0.46,0.33,0.84,0.27,0.1
96,0.15,0.02,0.0,0.54,0.42,0.52,0.47,0.09,0.73,1.0,0.61
97,0.32,0.98,0.09,0.79,0.79,0.71,0.76,0.76,0.35,0.08,0.19
98,0.07,0.41,0.01,0.36,0.59,0.32,0.47,0.68,0.28,0.11,0.09
99,0.05,0.25,0.04,0.27,0.33,0.34,0.36,0.54,0.25,0.59,0.82
100,0.4,0.62,0.13,0.53,0.55,0.49,0.43,0.48,0.2,0.26,0.42
101,0.11,0.37,0.03,0.41,0.57,0.4,0.56,0.58,0.65,0.21,0.02
102,0.11,0.31,0.15,0.23,0.25,0.25,0.32,0.56,0.41,0.49,0.75
103,0.03,0.31,0.0,0.52,0.62,0.47,0.59,0.77,0.59,0.13,0.24
104,0.19,0.2,0.01,0.32,0.61,0.32,0.36,0.38,0.41,0.5,0.2
105,0.13,0.41,0.06,0.47,0.02,0.46,0.82,0.46,0.61,0.47,1.0
106,0.79,0.25,0.02,0.51,0.5,0.52,0.32,0.19,0.46,0.59,0.22
107,0.11,0.62,0.04,0.58,0.68,0.53,0.68,0.68,0.67,0.08,0.06
108,0.12,0.3,0.02,0.33,0.34,0.4,0.36,0.36,0.06,0.86,0.19
109,0.84,0.05,0.01,0.77,0.74,0.72,0.78,0.25,0.76,0.71,0.1
110,0.03,0.39,0.0,0.38,0.06,0.34,0.52,0.57,0.7,0.26,0.38
111,0.1,0.8,0.01,0.62,0.85,0.59,0.63,0.67,0.88,0.01,0.04
112,0.01,0.27,0.0,0.55,0.67,0.49,0.6,0.59,0.65,0.14,0.27
113,0.08,0.65,0.02,0.46,0.77,0.42,0.55,0.76,0.57,0.06,0.04
114,0.03,0.41,0.0,0.77,0.82,0.72,0.73,0.78,0.48,0.05,0.08
115,0.04,0.57,0.01,0.44,0.78,0.41,0.55,0.6,0.72,0.09,0.17
116,0.07,0.2,0.02,0.37,0.43,0.36,0.39,0.44,0.61,0.37,0.45
117,0.02,0.35,0.0,0.44,0.61,0.41,0.48,0.76,0.5,0.11,0.12
118,0.04,0.26,0.0,0.53,0.61,0.51,0.63,0.62,0.26,0.25,0.29
119,0.03,0.27,0.0,0.47,0.69,0.44,0.49,0.57,0.45,0.2,0.15
120,0.1,0.56,0.02,0.37,0.54,0.38,0.41,0.64,0.41,0.14,0.14
121,0.04,0.29,0.0,0.47,0.7,0.44,0.62,0.63,0.46,0.23,0.19
122,0.63,0.51,0.7,0.46,0.43,0.46,0.4,0.53,0.35,0.44,0.67
123,0.07,0.91,0.01,0.49,0.77,0.52,0.55,0.63,0.67,0.06,0.04
124,0.02,0.09,0.0,0.38,0.61,0.36,0.42,0.29,0.78,0.47,0.13
125,0.17,0.31,0.12,0.18,0.37,0.29,0.33,0.51,0.42,0.46,0.67
126,0.03,0.3,0.0,0.47,0.49,0.45,0.53,0.59,0.43,0.23,0.19
127,0.24,0.44,0.02,0.47,0.63,0.44,0.52,0.7,0.17,0.3,0.5
128,0.09,0.52,0.02,0.5,0.68,0.47,0.67,0.66,0.58,0.13,0.15
129,0.11,0.35,0.01,0.46,0.63,0.51,0.52,0.52,0.67,0.2,0.37
130,0.05,0.59,0.01,0.47,0.85,0.43,0.47,0.49,0.77,0.05,0.02
131,0.12,0.43,0.01,0.5,0.66,0.46,0.64,0.7,0.38,0.08,0.01
132,0.02,0.12,0.0,0.26,0.38,0.35,0.27,0.38,0.61,0.27,0.21
133,0.17,0.62,0.01,0.41,0.85,0.36,0.59,0.64,0.78,0.12,0.03
134,0.05,0.26,0.02,0.06,0.84,0.07,0.03,0.0,0.74,0.11,0.04
135,0.02,0.31,0.0,0.29,0.36,0.37,0.41,0.55,0.3,0.21,0.2
136,0.02,0.08,0.0,0.32,0.53,0.33,0.36,0.33,0.54,0.49,0.25
137,0.27,0.92,0.07,0.72,0.73,0.66,0.74,0.7,0.62,0.08,0.11
138,0.07,0.3,0.01,0.24,0.4,0.23,0.35,0.5,0.3,0.34,0.13
139,0.05,0.21,0.02,0.31,0.6,0.36,0.43,0.54,0.29,0.39,0.09
140,0.06,0.04,0.0,0.47,0.41,0.45,0.48,0.52,0.59,0.55,1.0
141,0.06,0.19,0.0,0.52,0.67,0.49,0.59,0.55,0.75,0.19,0.03
142,0.04,0.1,0.0,0.32,0.65,0.39,0.47,0.58,0.49,0.31,0.08
143,0.12,0.2,0.01,0.46,0.64,0.43,0.47,0.45,0.39,0.35,0.2
144,0.06,0.23,0.01,0.55,0.7,0.5,0.56,0.66,0.26,0.29,0.34
145,0.25,0.31,0.57,0.47,0.55,0.44,0.51,0.57,0.4,0.37,0.45
146,0.19,0.14,0.01,0.37,0.27,0.4,0.37,0.5,0.46,0.49,0.51
147,0.1,0.38,0.0,0.51,0.62,0.47,0.55,0.7,0.24,0.22,0.15
148,0.12,0.56,0.01,0.51,0.79,0.53,0.55,0.5,0.88,0.09,0.05
149,1.0,0.0,0.02,0.98,0.5,0.9,0.91,0.07,0.83,1.0,0.52
150,0.21,0.17,0.01,0.52,0.57,0.48,0.51,0.4,0.48,0.59,0.24
151,0.09,0.12,0.01,0.43,0.52,0.43,0.45,0.51,0.45,0.38,0.18
152,0.07,0.76,0.01,0.51,0.85,0.47,0.57,0.53,0.8,0.09,0.04
153,0.16,0.32,0.06,0.53,0.58,0.49,0.58,0.63,0.34,0.3,0.34
154,0.11,0.07,0.0,0.37,0.6,0.42,0.35,0.32,0.64,0.52,1.0
155,0.03,0.15,0.0,0.36,0.76,0.51,0.43,0.16,0.74,0.19,0.22
156,0.1,0.15,0.0,0.32,0.6,0.3,0.35,0.43,0.47,0.43,0.12
157,0.11,0.21,0.01,0.5,0.79,0.47,0.45,0.36,0.55,0.39,0.14
158,0.07,0.65,0.01,0.6,0.77,0.56,0.64,0.67,0.71,0.07,0.12
159,0.08,0.42,0.01,0.45,0.63,0.45,0.6,0.73,0.45,0.15,0.06
160,0.15,0.61,0.01,0.54,0.82,0.59,0.57,0.42,0.94,0.07,0.08
161,0.02,0.3,0.0,0.54,0.7,0.51,0.59,0.78,0.53,0.09,0.06
162,0.21,0.19,0.02,0.5,0.85,0.46,0.57,0.58,0.71,0.08,0.26
163,0.04,0.57,0.01,0.62,0.86,0.6,0.73,0.64,0.68,0.08,0.04
164,0.1,0.19,0.0,0.6,0.66,0.56,0.55,0.43,0.68,0.3,0.29
165,0.05,0.19,0.01,0.37,0.6,0.34,0.42,0.56,0.47,0.26,0.08
166,0.03,0.35,0.0,0.15,0.49,0.13,0.26,0.6,0.44,0.15,0.08
167,0.03,0.05,0.0,0.28,0.45,0.28,0.26,0.04,0.55,0.75,0.27
168,0.05,0.22,0.01,0.31,0.63,0.41,0.24,0.47,0.23,0.48,0.26
169,0.05,0.01,0.0,0.46,0.41,0.45,0.41,0.25,0.63,0.67,0.96
170,0.08,0.45,0.02,0.48,0.79,0.83,0.51,0.22,0.15,0.12,0.08
171,0.04,0.23,0.0,0.38,0.54,0.36,0.41,0.46,0.37,0.38,0.1
172,0.01,0.25,0.0,0.36,0.64,0.34,0.5,0.55,0.7,0.15,0.05
173,0.06,0.66,0.01,0.63,0.92,0.57,0.64,0.75,0.69,0.02,0.02
174,0.03,0.54,0.0,0.47,0.76,0.43,0.49,0.67,0.52,0.05,0.05
175,0.04,0.1,0.0,0.38,0.24,0.42,0.39,0.33,0.57,0.54,0.55
176,0.36,0.38,0.02,0.59,0.23,0.59,0.54,0.37,0.5,0.7,0.64
177,0.01,0.38,0.0,0.55,0.73,0.5,0.57,0.77,0.68,0.07,0.04
178,0.02,0.06,0.0,0.29,0.28,0.58,0.31,0.27,0.49,0.29,0.16
179,0.02,0.17,0.0,0.43,0.38,0.41,0.48,0.48,0.54,0.26,0.01
180,0.42,0.57,0.08,0.5,0.5,0.46,0.49,0.56,0.36,0.24,0.7
181,0.78,0.42,0.03,0.8,0.63,0.76,0.78,0.52,0.48,0.3,0.38
182,0.02,0.46,0.0,0.63,0.85,0.58,0.6,0.65,0.56,0.06,0.15
183,0.01,0.16,0.0,0.35,0.84,0.31,0.38,0.42,0.79,0.13,0.01
184,0.03,0.47,0.0,0.57,0.81,0.52,0.68,0.64,0.77,0.1,0.12
185,0.04,0.55,0.01,0.61,0.7,0.66,0.66,0.68,0.71,0.09,0.06
186,0.04,0.17,0.0,0.49,0.8,0.45,0.54,0.62,0.59,0.22,0.27
187,0.11,0.3,0.01,0.43,0.19,0.4,0.41,0.53,0.47,0.44,0.65
188,0.08,0.81,0.02,0.51,0.85,0.49,0.53,0.57,0.79,0.05,0.01
189,0.01,0.1,0.0,0.31,0.48,0.32,0.33,0.55,0.63,0.31,0.45
190,0.12,0.24,0.04,0.35,0.49,0.43,0.38,0.36,0.32,0.38,0.14
191,0.03,0.02,0.0,0.37,0.64,0.33,0.38,0.31,1.0,0.25,0.19
192,0.03,0.24,0.0,0.44,0.7,0.4,0.51,0.57,0.61,0.15,0.07
193,0.16,0.93,0.08,0.75,0.75,0.69,0.74,0.79,0.45,0.08,0.1
194,0.01,0.3,0.0,0.42,0.55,0.39,0.48,0.56,0.46,0.18,0.05
195,0.2,0.17,0.03,0.33,0.19,0.33,0.35,0.4,0.49,0.64,0.72
196,0.03,0.07,0.0,0.47,0.29,0.47,0.45,0.27,0.56,0.77,1.0
197,0.07,0.08,0.0,1.0,0.85,1.0,1.0,0.11,0.13,1.0,0.02
198,0.02,0.08,0.0,0.44,0.14,0.41,0.41,0.37,0.5,0.69,0.24
199,0.19,0.66,0.03,0.32,0.49,0.34,0.4,0.47,0.6,0.21,0.16
200,0.03,0.16,0.0,0.37,0.62,0.37,0.37,0.52,0.59,0.31,0.3
201,0.05,0.46,0.0,0.14,0.19,0.14,0.34,0.75,0.31,0.17,0.12
202,0.0,0.27,0.0,0.56,0.56,0.53,0.57,0.65,0.28,0.28,0.12
203,0.22,0.37,0.02,0.42,0.63,0.4,0.51,0.59,0.59,0.18,0.17
204,0.04,0.29,0.0,0.56,0.7,0.52,0.64,0.6,0.79,0.11,0.18
205,0.49,0.4,0.14,0.47,0.21,0.47,0.47,0.41,0.51,0.45,0.79
206,0.05,0.22,0.01,0.33,0.68,0.32,0.4,0.6,0.51,0.22,0.08
207,0.31,0.26,0.27,0.45,0.49,0.44,0.48,0.5,0.44,0.46,0.63
208,1.0,0.45,0.09,1.0,0.6,1.0,1.0,0.46,0.58,0.36,0.69
209,0.03,0.34,0.01,0.3,0.61,0.29,0.43,0.55,0.66,0.13,0.1
210,0.04,0.79,0.01,0.68,0.86,0.66,0.65,0.7,0.79,0.02,0.01
211,0.02,0.35,0.0,0.64,0.84,0.61,0.68,0.67,0.76,0.08,0.02
212,0.03,0.22,0.01,0.38,0.55,0.35,0.41,0.54,0.59,0.24,0.24
213,0.08,0.16,0.0,0.24,0.63,0.33,0.29,0.37,0.28,0.59,0.03
214,0.32,0.71,0.12,0.14,0.32,0.15,0.14,0.82,0.29,0.18,0.27
215,0.04,0.73,0.01,0.37,0.75,0.58,0.54,0.38,0.5,0.13,0.02
216,0.34,0.48,0.03,0.9,0.66,0.82,0.88,0.63,0.16,0.24,0.16
217,0.01,0.13,0.0,0.32,0.58,0.3,0.32,0.28,0.77,0.27,0.03
218,0.03,0.07,0.0,0.36,0.25,0.39,0.39,0.41,0.48,0.55,0.7
219,0.43,0.08,0.0,0.57,0.6,0.53,0.5,0.2,0.74,0.88,0.29
220,0.1,0.31,0.0,0.51,0.6,0.46,0.52,0.56,0.86,0.13,0.02
221,0.02,0.19,0.0,0.29,0.51,0.28,0.32,0.35,0.76,0.27,0.26
222,0.85,0.19,0.04,0.59,0.11,0.56,0.41,0.46,0.23,0.8,1.0
223,0.01,0.02,0.0,0.45,0.17,0.45,0.4,0.3,0.55,0.7,0.86
224,0.09,0.28,0.02,0.27,0.53,0.34,0.35,0.49,0.29,0.44,0.14
225,0.09,0.1,0.0,0.45,0.57,0.48,0.38,0.24,0.5,0.61,0.28
226,0.04,0.71,0.0,0.47,0.94,0.45,0.56,0.62,0.7,0.03,0.03
227,0.04,0.36,0.0,0.48,0.82,0.44,0.47,0.54,0.65,0.09,0.08
228,0.06,0.52,0.01,0.48,0.7,0.45,0.58,0.59,0.86,0.1,0.03
229,0.26,0.28,0.01,0.57,0.6,0.6,0.56,0.46,0.57,0.34,0.11
230,0.04,0.16,0.0,0.4,0.59,0.4,0.43,0.49,0.62,0.3,0.08
231,0.03,0.23,0.0,0.48,0.71,0.48,0.5,0.52,0.53,0.19,0.01
232,0.09,0.17,0.01,0.31,0.44,0.48,0.38,0.29,0.23,0.84,0.28
233,0.06,0.18,0.0,0.45,0.54,0.41,0.39,0.47,0.65,0.39,0.12
234,0.02,0.06,0.02,0.38,0.19,0.37,0.42,0.33,0.64,0.66,1.0
235,0.1,0.65,0.04,0.32,0.66,0.29,0.44,0.61,0.76,0.11,0.08
236,0.04,0.38,0.01,0.6,0.61,0.55,0.62,0.73,0.56,0.09,0.19
237,0.04,0.1,0.0,0.33,0.56,0.32,0.34,0.24,0.62,0.52,0.17
238,0.14,0.28,0.0,0.46,0.57,0.43,0.57,0.43,0.78,0.27,0.35
239,0.04,0.2,0.01,0.41,0.55,0.4,0.46,0.59,0.38,0.35,0.18
240,0.07,0.43,0.0,0.73,0.82,0.66,0.68,0.87,0.28,0.05,0.14
241,0.04,0.16,0.0,0.38,0.59,0.38,0.47,0.5,0.61,0.28,0.21
242,0.23,0.27,0.27,0.31,0.43,0.32,0.44,0.62,0.28,0.47,0.25
243,0.05,0.54,0.01,0.42,0.48,0.53,0.49,0.52,0.75,0.07,0.09
244,0.04,0.21,0.0,0.15,0.16,0.15,0.12,0.0,0.36,0.21,0.17
245,0.14,0.16,0.01,0.46,0.46,0.46,0.45,0.37,0.52,0.55,0.33
246,0.1,0.47,0.01,0.15,0.51,0.15,0.23,0.81,0.3,0.16,0.18
247,0.28,0.67,0.03,0.28,0.54,0.26,0.3,0.44,0.66,0.12,0.38
248,0.41,0.34,0.77,0.33,0.16,0.36,0.45,0.48,0.47,0.49,0.81
249,0.47,0.79,0.07,0.49,0.51,0.5,0.45,0.8,0.21,0.17,0.14
250,0.01,0.17,0.0,0.44,0.56,0.45,0.45,0.55,0.57,0.22,0.41
251,0.06,0.45,0.02,0.45,0.85,0.41,0.52,0.89,0.2,0.07,0.07
252,0.31,0.38,0.13,0.37,0.56,0.33,0.49,0.8,0.26,0.27,0.17
253,0.11,0.25,0.0,0.52,0.67,0.56,0.52,0.56,0.32,0.27,0.1
254,0.28,0.74,0.02,0.66,0.8,0.6,0.65,1.0,0.19,0.07,0.05
255,0.04,0.14,0.0,0.28,0.44,0.38,0.31,0.43,0.37,0.63,0.33
256,0.09,0.25,0.0,0.67,0.75,0.6,0.65,0.6,0.43,0.17,0.04
257,0.01,0.09,0.0,0.34,0.58,0.33,0.41,0.34,0.76,0.32,0.05
258,0.06,0.41,0.01,0.01,0.5,0.03,0.0,0.0,0.5,0.14,0.15
259,0.1,0.7,0.01,0.48,0.83,0.44,0.46,0.72,0.37,0.01,0.02
260,0.08,0.52,0.01,0.45,0.81,0.41,0.5,0.63,0.84,0.06,0.08
261,0.9,0.56,0.21,0.68,0.36,0.64,0.71,0.52,0.43,0.43,0.86
262,0.02,0.13,0.0,0.34,0.76,0.33,0.4,0.46,0.54,0.29,0.1
263,0.06,0.47,0.01,0.51,0.58,0.48,0.54,0.62,0.36,0.2,0.14
264,0.02,0.03,0.0,0.37,0.63,0.35,0.37,0.47,0.62,0.37,0.03
265,0.11,0.21,0.01,0.5,0.55,0.46,0.53,0.42,0.63,0.44,0.28
266,1.0,0.38,0.27,0.55,0.35,0.52,0.74,0.45,0.6,0.42,0.54
267,0.01,0.07,0.0,0.34,0.29,0.35,0.29,0.3,0.56,0.58,0.3
268,0.06,0.32,0.03,0.37,0.6,0.41,0.47,0.56,0.21,0.44,0.16
269,0.2,0.35,0.45,0.17,0.39,0.19,0.29,0.57,0.41,0.32,0.58
270,0.01,0.27,0.0,0.29,0.65,0.28,0.39,0.37,0.84,0.16,0.02
271,0.08,0.37,0.02,0.22,0.48,0.52,0.35,0.4,0.12,0.42,0.28
272,0.07,0.36,0.0,0.41,0.75,0.38,0.49,0.57,0.59,0.15,0.03
273,0.26,0.29,0.01,0.4,0.28,0.39,0.55,0.69,0.21,0.22,0.32
274,0.04,0.22,0.0,0.39,0.6,0.39,0.55,0.66,0.53,0.25,0.03
275,0.04,0.42,0.0,0.38,0.55,0.35,0.33,0.31,0.64,0.22,0.1
276,0.04,0.08,0.01,0.37,0.09,0.41,0.37,0.39,0.55,0.58,1.0
277,0.04,0.36,0.01,0.16,0.45,0.15,0.14,0.15,0.46,0.25,0.27
278,0.05,0.62,0.01,0.58,0.75,0.53,0.6,0.73,0.78,0.05,0.15
279,0.83,0.06,0.01,0.75,0.61,0.7,0.68,0.23,0.68,0.9,0.14
280,0.19,0.78,0.05,0.45,0.79,0.43,0.64,0.75,0.68,0.04,0.06
281,0.06,0.6,0.01,0.49,0.74,0.59,0.44,0.67,0.36,0.12,0.32
282,0.25,0.41,0.03,0.59,0.51,0.55,0.55,0.31,0.15,0.39,0.36
283,0.02,0.46,0.0,0.63,0.88,0.58,0.64,0.65,0.6,0.03,0.02
284,0.19,0.5,0.04,0.26,0.44,0.24,0.19,0.26,0.48,0.24,0.56
285,0.02,0.24,0.0,0.58,0.77,0.66,0.61,0.68,0.6,0.13,0.08
286,0.09,0.33,0.02,0.2,0.24,0.22,0.15,0.35,0.43,0.34,0.76
287,0.08,0.62,0.02,0.46,0.78,0.46,0.63,0.7,0.37,0.08,0.11
288,0.04,0.26,0.0,0.31,0.57,0.33,0.31,0.26,0.31,0.47,0.09
289,0.04,0.18,0.01,0.36,0.32,0.42,0.44,0.46,0.42,0.57,0.53
290,0.5,0.71,0.07,0.29,0.54,0.3,0.3,0.58,0.43,0.2,0.23
291,0.02,0.38,0.0,0.55,0.62,0.64,0.59,0.63,0.55,0.09,0.01
292,0.03,0.41,0.01,0.6,0.88,0.59,0.63,0.5,0.84,0.07,0.08
293,1.0,0.04,0.03,0.83,0.69,0.79,0.8,0.11,0.74,0.95,0.2
294,0.04,0.38,0.0,0.42,0.73,0.39,0.47,0.73,0.44,0.11,0.26
295,0.04,0.0,0.0,0.43,0.41,0.41,0.43,0.35,0.64,0.59,0.34
296,0.01,0.04,0.0,0.44,0.29,0.44,0.42,0.38,0.5,0.52,0.57
297,0.04,0.18,0.01,0.28,0.58,0.33,0.3,0.44,0.38,0.47,0.18
298,0.02,0.48,0.0,0.63,0.86,0.59,0.64,0.69,0.81,0.04,0.03
